"X","gene_name","gene_id","chromosome_RefSeq","start","stop","direction","direction_unique","log2FoldChange_LB_vs_PL","log2FoldChange_LB_vs_SB","log2FoldChange_PL_vs_SB","pvalue","padj","chrom"
21,"LOC111964131",111964131,"NC_036838.1",28137063,28164665,"LB","LB",-1.14522577263998,-0.766801850644697,0.378423921995283,0.00227916871407206,0.0492950923942273,"chr036838.1"
22,"LOC111964178",111964178,"NC_036838.1",28176448,28210857,"ALL","LB",-0.419403869976554,-0.246874935120017,0.172528934856537,0.000754137737421835,0.0234325583356972,"chr036838.1"
23,"LOC111964252",111964252,"NC_036838.1",28402820,28429900,"PL","PL",-0.53624314540237,0.329616074297323,0.865859219699692,0.000472738695734614,0.0173658220237017,"chr036838.1"
24,"LOC111968225",111968225,"NC_036838.1",30537719,30561374,"PL","PL",-2.199311300797,-0.0567366472107885,2.14257465358621,6.50883071855487e-17,1.98819744487549e-13,"chr036838.1"
27,"LOC111964864",111964864,"NC_036838.1",31023065,31048266,"LB","LB",0.251110378544245,0.184215891379961,-0.0668944871642847,0.00131808066748062,0.0338996005865643,"chr036838.1"
28,"LOC111965023",111965023,"NC_036838.1",31159241,31196621,"PL","PL",1.02759372205232,0.0816941052068798,-0.945899616845436,8.7828864457075e-13,8.1108935060243e-10,"chr036838.1"
32,"LOC111965130",111965130,"NC_036838.1",31301211,31355505,"PL","PL",1.52252326798162,0.495239811903903,-1.02728345607772,7.81562739659537e-13,7.38948961711434e-10,"chr036838.1"
38,"LOC111965526",111965526,"NC_036838.1",32279562,32302991,"LB","LB",0.264970128322784,0.405007300227613,0.140037171904829,2.0875572928316e-05,0.00168832790424323,"chr036838.1"
39,"LOC111966894",111966894,"NC_036838.1",37758027,37794110,"PL","PL",-0.944458080301096,0.0313079081485258,0.975765988449622,0.000667442771049571,0.0217782682320283,"chr036838.1"
40,"LOC111970035",111970035,"NC_036838.1",38805117,38830310,"SB","SB",0.205918690414686,-0.892465822418324,-1.09838451283301,0.00214201704126834,0.0475121989487851,"chr036838.1"
41,"LOC111967700",111967700,"NC_036838.1",40942815,41077314,"LB","LB",-0.436602659198352,-0.300117325507495,0.136485333690857,4.50061694555304e-06,0.000501653255625619,"chr036838.1"
45,"LOC111967774",111967774,"NC_036838.1",42120724,42147728,"SB","SB",-0.186953524374442,-0.73848015736427,-0.551526632989829,6.45880831727292e-06,0.000674287510474735,"chr036838.1"
46,"lg1h3orf14",111968183,"NC_036838.1",44437646,44464106,"PL","PL",0.655267074412173,0.128628596933836,-0.526638477478336,0.00129851390345826,0.0334613803415494,"chr036838.1"
48,"LOC111968735",111968735,"NC_036838.1",48005946,48046900,"PL","PL",3.74648560974392,-0.0581041215313344,-3.80458973127526,8.17532648929374e-14,9.83764287545013e-11,"chr036838.1"
49,"gnl3l",111969171,"NC_036838.1",48876600,48910647,"ALL","PL",0.349522385300034,0.14879599455728,-0.200726390742754,8.82103402020722e-05,0.00503384236656736,"chr036838.1"
50,"LOC111969394",111969394,"NC_036838.1",50152354,50179545,"PL","PL",0.662031740190264,0.0668827835753491,-0.595148956614915,0.000920768055131191,0.0265433257708032,"chr036838.1"
54,"LOC111969996",111969996,"NC_036838.1",53436539,53462339,"LB","LB",0.4071252927842,0.312282652501968,-0.0948426402822317,0.000177275766590972,0.00867390095841226,"chr036838.1"
55,"LOC111970032",111970032,"NC_036838.1",53490554,53519855,"SB","SB",-0.0344414762583093,0.258754912367905,0.293196388626214,0.00185109572957324,0.0426888808700113,"chr036838.1"
58,"LOC111970340",111970340,"NC_036838.1",55081344,55107131,"PL","PL",-0.57837272799362,-0.227515527138789,0.350857200854832,2.54816758878741e-05,0.00198019050784243,"chr036838.1"
59,"LOC111970494",111970494,"NC_036838.1",56441686,56486016,"PL","PL",-0.382469256864944,-0.0493141179101687,0.333155138954775,0.000969022845841539,0.0274464316750125,"chr036838.1"
60,"LOC111970587",111970587,"NC_036838.1",56473125,56555491,"ALL","LB",-0.434834868969058,-0.244814616588228,0.19002025238083,0.00120138543284785,0.0318046770255922,"chr036838.1"
63,"LOC111970429",111970429,"NC_036838.1",56695894,56732245,"PL","PL",-1.4276153641963,-0.166496529854044,1.26111883434226,5.61708044142773e-06,0.00060448310116286,"chr036838.1"
65,"LOC111970456",111970456,"NC_036838.1",56789331,57104768,"ALL","LB",-0.495607205863324,-0.263498942482033,0.232108263381291,0.000940965589014595,0.0269011832539738,"chr036838.1"
67,"hesx1",111972918,"NC_036838.1",57245916,57267983,"SB","SB",-0.658463743747186,-2.67731461062852,-2.01885086688133,8.19676640655245e-06,0.000797778416676955,"chr036838.1"
68,"il17rd",111970867,"NC_036838.1",57371084,57400699,"LB","LB",-0.222683208052672,-0.279509968597791,-0.0568267605451197,0.00070562917257074,0.0224343750542707,"chr036838.1"
70,"LOC111973284",111973284,"NC_036839.1",2955996,2978413,"PL","PL",0.283929029604384,-0.150807139460007,-0.434736169064391,0.00226465281209698,0.0491685965928765,"chr036839.1"
71,"LOC111973294",111973294,"NC_036839.1",3128440,3172097,"LB","LB",0.284119017681517,0.206873589405831,-0.0772454282756865,0.00107315061747483,0.0293895248413278,"chr036839.1"
73,"pgap1",111973556,"NC_036839.1",5906478,5953040,"SB","SB",-0.150841150079435,0.308714201807071,0.459555351886505,0.00215044517071386,0.047626423719491,"chr036839.1"
75,"LOC111974304",111974304,"NC_036839.1",11225355,11258280,"SB","SB",-0.21995401110596,-0.615579905770023,-0.395625894664063,8.29560877029941e-05,0.00480202076193279,"chr036839.1"
76,"LOC111974791",111974791,"NC_036839.1",14100388,14126608,"PL","PL",-0.536462659535947,0.02105489964837,0.557517559184317,0.000507456914930898,0.0182033550965727,"chr036839.1"
77,"LOC111974903",111974903,"NC_036839.1",14494413,14520663,"LB","LB",0.404544570174076,0.317232821961112,-0.0873117482129647,0.000195578586110379,0.00930110856819538,"chr036839.1"
78,"LOC111975083",111975083,"NC_036839.1",14786308,14809760,"LB","LB",0.326700836457633,0.470067311848532,0.143366475390899,0.00217909952058594,0.047942197050887,"chr036839.1"
79,"LOC111975055",111975055,"NC_036839.1",14790345,14833188,"ALL","PL",0.165301117401782,0.0699859174746908,-0.0953151999270916,9.19546741684361e-05,0.00520901585054008,"chr036839.1"
80,"LOC111975273",111975273,"NC_036839.1",15405753,15428952,"PL","PL",0.352847856642852,0.0719559797259363,-0.280891876916916,0.000232464164733026,0.0103954414206627,"chr036839.1"
81,"LOC111972208",111972208,"NC_036839.1",16696434,16720914,"LB","LB",1.04351936876885,0.700040203551036,-0.343479165217819,0.000757580630973485,0.0234597491723633,"chr036839.1"
82,"LOC111975992",111975992,"NC_036839.1",17075396,17105600,"PL","PL",1.66170560746441,0.0134425283175418,-1.64826307914687,2.45361223011711e-14,3.89731766631802e-11,"chr036839.1"
83,"LOC111976069",111976069,"NC_036839.1",17238033,17324794,"LB","LB",-0.529254697165145,-0.323857884627894,0.205396812537251,0.00231202286062679,0.0497617494826502,"chr036839.1"
84,"LOC111976147",111976147,"NC_036839.1",17826379,17851781,"LB","LB",-0.209444801954553,-0.283945783287064,-0.0745009813325105,3.01711631239871e-06,0.000361962805937621,"chr036839.1"
85,"LOC111976964",111976964,"NC_036839.1",22267761,22288816,"PL","PL",1.53664597868479,0.0386866080487516,-1.49795937063604,0.000310294436297835,0.012837708629283,"chr036839.1"
86,"LOC111977243",111977243,"NC_036839.1",23758996,23784496,"ALL","PL",0.67004195655004,0.285396434724724,-0.384645521825316,2.78083215016903e-08,7.1705743300787e-06,"chr036839.1"
87,"lrrc63",111977850,"NC_036839.1",29281564,29308617,"SB","SB",-0.186927774736822,0.369187788892752,0.556115563629574,9.9771783083498e-05,0.00559595692972558,"chr036839.1"
90,"LOC111977883",111977883,"NC_036839.1",29347069,29375737,"PL","PL",0.336978575245905,0.00571242290666561,-0.33126615233924,0.00021090775129641,0.00972723206037216,"chr036839.1"
91,"LOC111978250",111978250,"NC_036839.1",31478985,31500812,"PL","PL",1.72831621965484,0.403028382959843,-1.325287836695,0.00101671657046981,0.0281743300860824,"chr036839.1"
92,"LOC111978670",111978670,"NC_036839.1",33537865,33563260,"SB","SB",0.189217092230589,0.882584454701519,0.69336736247093,0.000483845739808798,0.0176475770473695,"chr036839.1"
93,"LOC111979017",111979017,"NC_036839.1",35124848,35147951,"ALL","PL",0.566959481583175,0.250152776125411,-0.316806705457763,1.94423553560987e-07,3.65589833789925e-05,"chr036839.1"
94,"LOC111979044",111979044,"NC_036839.1",35268081,35291867,"PL","PL",1.27972806266752,-0.230322055808357,-1.51005011847587,7.82859404700748e-08,1.72707483114815e-05,"chr036839.1"
96,"LOC111971829",111971829,"NC_036839.1",39253863,39291030,"PL","PL",-1.06176584593606,-0.0478645692117654,1.01390127672429,0.00221194043874908,0.0482881554825321,"chr036839.1"
97,"LOC111979985",111979985,"NC_036839.1",40314018,40341407,"ALL","LB",0.269873733945595,0.507172342811783,0.237298608866188,5.41683719304922e-06,0.000586110640152546,"chr036839.1"
99,"LOC111971934",111971934,"NC_036839.1",40891013,41182846,"LB","LB",-1.10866464470004,-0.790289436693839,0.3183752080062,0.000407631241108628,0.0158231051656145,"chr036839.1"
100,"LOC111955580",111955580,"NC_036840.1",498483,522163,"LB","LB",-0.303063639402823,-0.224351548843898,0.0787120905589252,0.000113360755870392,0.006166514541936,"chr036840.1"
101,"LOC111980919",111980919,"NC_036840.1",818492,844889,"LB","LB",3.32981251447649,4.78969835259508,1.45988583811859,2.14996987186424e-19,1.06719129514661e-15,"chr036840.1"
102,"LOC111981826",111981826,"NC_036840.1",872097,894558,"LB","LB",1.33009092680334,1.03772916492165,-0.292361761881692,5.9008774613898e-06,0.00062990280642954,"chr036840.1"
104,"pwp1",111981818,"NC_036840.1",1222450,1248183,"LB","LB",0.308306141633645,0.229618925147749,-0.0786872164858962,0.000238644452221559,0.0105883477069476,"chr036840.1"
105,"LOC111982387",111982387,"NC_036840.1",1913690,1936335,"LB","LB",0.426762036175449,0.711298519493597,0.284536483318148,0.000555993069753592,0.0193840955223136,"chr036840.1"
106,"LOC111982299",111982299,"NC_036840.1",2220668,2243803,"LB","LB",-0.571679593130296,-0.419295891553146,0.15238370157715,0.000174314305240703,0.00857747343383931,"chr036840.1"
107,"LOC111982585",111982585,"NC_036840.1",3471945,3501869,"ALL","LB",0.729180896690202,0.409500019424375,-0.319680877265827,7.85454411586022e-07,0.000119963056477234,"chr036840.1"
108,"LOC111955825",111955825,"NC_036840.1",4999160,5057537,"PL","PL",-0.336604768323436,0.132177319300467,0.468782087623903,2.41114707518608e-06,0.000303957620176633,"chr036840.1"
109,"LOC111949557",111949557,"NC_036840.1",5859846,5885314,"PL","PL",1.07464864840787,-0.000216375255297751,-1.07486502366317,1.74550889258072e-08,4.74754507701235e-06,"chr036840.1"
111,"glt8d2",111949587,"NC_036840.1",5896131,5922304,"LB","LB",0.32292653252031,0.487371494554798,0.164444962034489,3.82730945263163e-05,0.00266189715329906,"chr036840.1"
113,"sfmbt2",111949695,"NC_036840.1",6344815,6411384,"PL","PL",-0.302184912874729,0.0239078741145017,0.326092786989231,0.00139735966404307,0.0352535910159787,"chr036840.1"
118,"LOC111955942",111955942,"NC_036840.1",6865746,6901712,"SB","SB",-0.901751827773636,-2.5332835033941,-1.63153167562046,1.39808889410809e-05,0.00125323047370276,"chr036840.1"
119,"stab2",111955984,"NC_036840.1",7607443,7670152,"ALL","PL",-0.195374413071466,0.158238770106375,0.353613183177841,0.000237207353481286,0.0105363579493757,"chr036840.1"
120,"LOC111950358",111950358,"NC_036840.1",10403939,10427893,"ALL","PL",-0.88675444276449,-0.441213020318654,0.445541422445836,0.000289957218225762,0.0122728181788494,"chr036840.1"
121,"LOC111950911",111950911,"NC_036840.1",12698103,12746091,"LB","LB",-0.917250460742449,-0.678354812987756,0.238895647754693,0.000120656686941432,0.00649224530954508,"chr036840.1"
122,"LOC111951000",111951000,"NC_036840.1",12950903,12993165,"PL","PL",0.249603904160478,0.066025671685692,-0.183578232474786,7.88313648358857e-05,0.00462391949428807,"chr036840.1"
132,"LOC111951392",111951392,"NC_036840.1",15119361,15142959,"PL","PL",-1.02772411215865,0.327628171560665,1.35535228371931,0.000291577895748095,0.0122914630999542,"chr036840.1"
133,"LOC111956194",111956194,"NC_036840.1",15122886,15143855,"PL","PL",1.65695628498375,0.7238585582338,-0.93309772674995,2.95212991223677e-05,0.00219155880414748,"chr036840.1"
134,"LOC111951461",111951461,"NC_036840.1",15794769,15839482,"ALL","LB",-0.340498372051085,-0.178642161037908,0.161856211013177,0.00197768154224847,0.0450034957568142,"chr036840.1"
135,"LOC111951596",111951596,"NC_036840.1",16469858,16506309,"LB","LB",0.308813138218923,0.330849288518937,0.0220361503000137,2.43642552456212e-05,0.00189706779569337,"chr036840.1"
144,"lgi2",111951731,"NC_036840.1",17431891,17483901,"LB","LB",-1.20737413225932,-0.700627286490939,0.506746845768379,0.000410334071093451,0.0158659843847331,"chr036840.1"
145,"LOC111951842",111951842,"NC_036840.1",18071613,18094986,"LB","LB",0.613236083868052,0.675464191434042,0.0622281075659899,0.000955087031407691,0.0271874595105372,"chr036840.1"
146,"LOC111956268",111956268,"NC_036840.1",18696345,18751188,"SB","SB",-0.585522840292741,0.729225472410833,1.31474831270357,0.000103385262883305,0.0057499002648404,"chr036840.1"
147,"hdac8",111951965,"NC_036840.1",19205169,19261361,"SB","SB",0.0598142157777243,0.376340500210037,0.316526284432313,0.000190642266174851,0.00913197151966625,"chr036840.1"
148,"LOC111952129",111952129,"NC_036840.1",20401286,20428678,"ALL","LB",0.636059525627464,0.347031274259084,-0.28902825136838,1.15949774083585e-08,3.3045636875727e-06,"chr036840.1"
150,"LOC111952350",111952350,"NC_036840.1",21272906,21304268,"LB","LB",0.153371254912196,0.138137759450017,-0.0152334954621794,0.00115398302337967,0.0309417055087147,"chr036840.1"
151,"supt16h",111952498,"NC_036840.1",21760236,21801259,"ALL","LB",0.125954392107862,0.183296048645368,0.0573416565375063,0.000399497248606282,0.0155988552036927,"chr036840.1"
153,"LOC111952947",111952947,"NC_036840.1",23046638,23114845,"LB","LB",-0.602365618151675,-0.400282914741615,0.202082703410059,8.96170846324731e-08,1.92361861121919e-05,"chr036840.1"
155,"LOC111953864",111953864,"NC_036840.1",26574165,26597456,"SB","SB",0.0621632647795846,-0.268490631386825,-0.330653896166409,3.48278978939429e-05,0.00249192040606932,"chr036840.1"
156,"LOC111954104",111954104,"NC_036840.1",27697663,27791384,"LB","LB",-0.52005951893674,-0.397064321076465,0.122995197860274,1.46717575060446e-05,0.00130438419153181,"chr036840.1"
157,"LOC111954729",111954729,"NC_036840.1",31318930,31345084,"LB","LB",0.308320535296952,0.211130842599222,-0.0971896926977297,0.00109173860024251,0.029716310115272,"chr036840.1"
158,"LOC111954760",111954760,"NC_036840.1",31416967,31439729,"LB","LB",0.31647615770201,0.210002499353767,-0.106473658348242,0.00200952136194458,0.0454406288170008,"chr036840.1"
160,"LOC111981433",111981433,"NC_036840.1",31751447,31773843,"LB","LB",0.594646739291048,0.481912323895877,-0.11273441539517,0.000186670199585647,0.00900689383419933,"chr036840.1"
161,"LOC111954898",111954898,"NC_036840.1",32015269,32053017,"PL","PL",-0.65085934784427,-0.152508746799626,0.498350601044644,1.24467883462847e-06,0.000179314180629425,"chr036840.1"
163,"LOC111955048",111955048,"NC_036840.1",32182266,32220902,"SB","SB",-0.203346427423081,0.483213175193078,0.686559602616159,4.06239857042412e-05,0.00277178431669316,"chr036840.1"
165,"LOC111955272",111955272,"NC_036840.1",33883625,33943683,"ALL","PL",0.436475431039175,0.188768551853559,-0.247706879185616,4.58361402975565e-06,0.000508422662350829,"chr036840.1"
168,"LOC111980836",111980836,"NC_036840.1",33987039,34065565,"LB","LB",-0.941772234097732,-0.716238602357927,0.225533631739805,2.96386148773603e-06,0.00035774350248136,"chr036840.1"
169,"LOC111955302",111955302,"NC_036840.1",34065614,34094775,"LB","LB",-1.47591277786807,-2.21902006353687,-0.743107285668801,3.26545942891003e-07,5.66250628480425e-05,"chr036840.1"
170,"LOC111955342",111955342,"NC_036840.1",34321022,34344187,"LB","LB",-1.46056520855491,-1.29660725351596,0.163957955038947,2.47007282773935e-15,4.6707900947395e-12,"chr036840.1"
171,"LOC111955441",111955441,"NC_036840.1",34885123,34907895,"ALL","LB",0.399521140323418,0.240423644895674,-0.159097495427744,0.000919591437618542,0.0265384999911572,"chr036840.1"
172,"LOC111958236",111958236,"NC_036841.1",467232,490793,"PL","PL",0.232185085594377,0.00785408264605092,-0.224331002948326,0.00183864821114437,0.0425691639174032,"chr036841.1"
173,"LOC111958384",111958384,"NC_036841.1",685459,712366,"ALL","PL",0.249027446967186,-0.209188067864534,-0.45821551483172,4.42569986563596e-10,1.97142973757615e-07,"chr036841.1"
174,"ncam1",111956653,"NC_036841.1",1298981,1423881,"PL","PL",-1.20238430937846,-0.242770708189435,0.959613601189029,1.30741015383858e-05,0.00118532550705319,"chr036841.1"
175,"pih1d2",111958547,"NC_036841.1",1449042,1471633,"LB","LB",0.511754448791981,0.405014581675541,-0.106739867116439,3.43047842842007e-05,0.00246323175779279,"chr036841.1"
177,"nkapd1",111958561,"NC_036841.1",1487513,1510677,"SB","SB",0.0442432694789625,0.352700731851969,0.308457462373006,0.00112616635936587,0.0303392578903791,"chr036841.1"
178,"LOC111958671",111958671,"NC_036841.1",2307189,2384080,"PL","PL",0.258304254121153,0.053460607034246,-0.204843647086907,0.000155666700917638,0.00792503165825566,"chr036841.1"
179,"LOC111958717",111958717,"NC_036841.1",2401144,2432882,"ALL","LB",-0.75539950414362,-0.405517242393893,0.349882261749727,1.2485709639126e-08,3.48922329044364e-06,"chr036841.1"
180,"LOC111958862",111958862,"NC_036841.1",3073103,3097170,"LB","LB",0.514654155333593,0.569897475015227,0.0552433196816343,0.00168058976752242,0.0400866977360678,"chr036841.1"
181,"LOC111959085",111959085,"NC_036841.1",3815610,3917498,"PL","PL",-0.657557497880469,0.00427077164216715,0.661828269522637,1.92767251641589e-05,0.00159807673542536,"chr036841.1"
198,"LOC111959286",111959286,"NC_036841.1",4204428,4233771,"LB","LB",-0.396323995271287,-0.542464868281433,-0.146140873010146,0.000909521494725424,0.0264400428664324,"chr036841.1"
199,"aipl1",111957542,"NC_036841.1",4430018,4457482,"LB","LB",-1.1176032926969,-1.43604999863049,-0.318446705933595,0.000117183022173087,0.00634216313730936,"chr036841.1"
201,"LOC111959373",111959373,"NC_036841.1",4614752,4638336,"LB","LB",0.521097356312295,0.584138678653479,0.0630413223411843,0.000309968391286688,0.012837708629283,"chr036841.1"
203,"LOC111959413",111959413,"NC_036841.1",4716169,4748890,"PL","PL",-1.34928898001911,-0.57723431718887,0.772054662830241,9.70554114206629e-07,0.00014382228013599,"chr036841.1"
204,"LOC111956864",111956864,"NC_036841.1",6405778,6752079,"SB","SB",0.248547910063207,0.873270650219454,0.624722740156247,0.00087868165630345,0.0257934387557278,"chr036841.1"
205,"aamdc",111959638,"NC_036841.1",6799627,6822249,"PL","PL",-1.04333032059236,-0.0715655071760678,0.971764813416291,1.32437200859809e-05,0.00119524573775977,"chr036841.1"
208,"LOC111960153",111960153,"NC_036841.1",9046598,9072202,"LB","LB",0.212572234732375,0.279804203309407,0.0672319685770324,2.66813477821122e-05,0.00203362057663661,"chr036841.1"
211,"tmem25",111960402,"NC_036841.1",9657590,9684693,"PL","PL",-1.29631008284413,-0.133448638083913,1.16286144476022,1.75752652339245e-07,3.37156416637266e-05,"chr036841.1"
214,"LOC111957136",111957136,"NC_036841.1",10794535,10819411,"PL","PL",-0.418803013436443,-0.0616552387744144,0.357147774662029,6.28477732715338e-05,0.00387528738604442,"chr036841.1"
215,"LOC111960490",111960490,"NC_036841.1",11125467,11152359,"LB","LB",0.738458014176523,1.16282898111537,0.424370966938847,6.82477409255379e-13,6.61004339549539e-10,"chr036841.1"
217,"LOC111960513",111960513,"NC_036841.1",11730492,11771535,"LB","LB",-0.91598120611953,-0.646354077688128,0.269627128431403,1.43394999512419e-06,0.000202641118528048,"chr036841.1"
219,"LOC111960519",111960519,"NC_036841.1",11853540,11876746,"ALL","PL",-0.309804718238978,-0.118459439012942,0.191345279226037,0.00190317941180937,0.0435843451228086,"chr036841.1"
221,"LOC111960541",111960541,"NC_036841.1",13151261,13175815,"PL","PL",-0.649322416465742,-0.268590576410033,0.380731840055709,0.00108836771979556,0.0296630625621701,"chr036841.1"
227,"LOC111960579",111960579,"NC_036841.1",15379505,15420296,"LB","LB",-0.200639378828228,-0.250997955898491,-0.0503585770702629,0.00118262423521109,0.0314758769304507,"chr036841.1"
229,"LOC111957292",111957292,"NC_036841.1",15560763,15602131,"LB","LB",-2.02992197139374,-1.63581034269301,0.394111628700735,1.25650700209882e-08,3.48922329044364e-06,"chr036841.1"
230,"tbcb",111960591,"NC_036841.1",15866160,15890454,"PL","PL",0.306339341669531,-0.106840957067137,-0.413180298736668,0.00149265443054693,0.0370689852639264,"chr036841.1"
231,"LOC111960604",111960604,"NC_036841.1",16392748,16423444,"PL","PL",-3.89612081312733,-0.109847459040137,3.7862733540872,4.12294314132763e-06,0.000470652396637408,"chr036841.1"
232,"LOC111960606",111960606,"NC_036841.1",16430487,16462774,"ALL","SB",-0.16371843288541,-0.363121645614819,-0.199403212729409,4.89926353068014e-05,0.00318412037321291,"chr036841.1"
233,"LOC111960622",111960622,"NC_036841.1",17556057,17591272,"LB","LB",0.340965504696148,0.494656034987517,0.15369053029137,1.61791687902645e-07,3.16490045646012e-05,"chr036841.1"
234,"LOC111960636",111960636,"NC_036841.1",18052509,18083024,"PL","PL",-0.773171062401535,-0.170212993931047,0.602958068470488,1.98180857852998e-05,0.00163273067745696,"chr036841.1"
236,"LOC111960646",111960646,"NC_036841.1",18488320,18623436,"PL","PL",-0.279309895770568,0.163293780157217,0.442603675927786,0.000171549258151788,0.00846238638659317,"chr036841.1"
237,"LOC111960661",111960661,"NC_036841.1",19573170,19621921,"LB","LB",1.14111142879417,2.14791095494679,1.00679952615261,8.34380462981365e-05,0.00482288910989665,"chr036841.1"
240,"LOC111960712",111960712,"NC_036841.1",22935215,22978356,"ALL","LB",-0.60771053821022,-0.335618572787431,0.272091965422789,0.000817950651541239,0.0246253376593651,"chr036841.1"
242,"LOC111960785",111960785,"NC_036841.1",27365212,27414710,"PL","PL",0.59166275334743,0.19543196449901,-0.39623078884842,0.000454846215203107,0.016943661543823,"chr036841.1"
244,"LOC111961214",111961214,"NC_036842.1",827003,963166,"SB","SB",0.0499295919224111,0.406120101967008,0.356190510044596,0.000252714063295417,0.0110399069895061,"chr036842.1"
245,"LOC111961246",111961246,"NC_036842.1",2608258,2725715,"LB","LB",-0.675588938362028,-0.710233876517258,-0.0346449381552296,1.98810245582219e-05,0.00163452481409315,"chr036842.1"
248,"LOC111961360",111961360,"NC_036842.1",8138916,8167357,"LB","LB",0.475090539498643,0.339852536711749,-0.135238002786894,1.2281401086273e-06,0.000177990670487555,"chr036842.1"
249,"LOC111961365",111961365,"NC_036842.1",8390821,8426488,"ALL","LB",0.250129898492684,0.170298241812788,-0.0798316566798963,2.11628834716063e-05,0.00170117024829451,"chr036842.1"
250,"LOC111961368",111961368,"NC_036842.1",8463484,8500999,"LB","LB",-0.733832790645851,-0.87883616394713,-0.145003373301278,1.27527812863779e-07,2.59698946093368e-05,"chr036842.1"
251,"LOC111961378",111961378,"NC_036842.1",8727112,8751343,"PL","PL",-0.482407238503628,-0.156738367980271,0.325668870523358,0.000184125072474814,0.00893839441072721,"chr036842.1"
252,"LOC111961384",111961384,"NC_036842.1",8849089,8873796,"LB","LB",0.673372352261873,0.524890821440781,-0.148481530821092,0.00151556629695122,0.0374105547160354,"chr036842.1"
253,"LOC111961401",111961401,"NC_036842.1",10092162,10119389,"ALL","SB",0.257161119151799,0.581917929655788,0.324756810503989,0.000227421836078837,0.0102391395812819,"chr036842.1"
255,"LOC111961461",111961461,"NC_036842.1",12533925,12562955,"LB","LB",0.543890780384984,0.734141226486331,0.190250446101347,2.5893908887283e-07,4.63174379240543e-05,"chr036842.1"
257,"LOC111961491",111961491,"NC_036842.1",13211316,13238466,"ALL","PL",0.415793939300785,0.170809405431236,-0.244984533869549,0.000494535777021077,0.0179670774981765,"chr036842.1"
258,"LOC111961502",111961502,"NC_036842.1",13512918,13534965,"SB","SB",-0.239893635870719,0.371090348686488,0.610983984557207,0.000290208417777375,0.0122728181788494,"chr036842.1"
260,"LOC111961553",111961553,"NC_036842.1",16542934,16591341,"LB","LB",0.339290666665745,0.323925022573573,-0.015365644092172,0.00063799317472658,0.0210596084525291,"chr036842.1"
261,"LOC111961620",111961620,"NC_036842.1",20770479,20793320,"LB","LB",-1.30565856711371,-1.21034852612633,0.095310040987386,1.32264798544389e-05,0.00119524573775977,"chr036842.1"
