"","gene_name","gene_id","chromosome_RefSeq","start","stop","direction","direction_unique","log2FoldChange_LB_vs_PL","log2FoldChange_LB_vs_SB","log2FoldChange_PL_vs_SB","pvalue","padj"
"36","LOC111965130",111965130,"NC_036838.1",31311211,31345253,"PL","PL",1.52252326798162,0.495239811903903,-1.02728345607772,7.81562739659537e-13,7.38948961711434e-10
"37","LOC111965130",111965130,"NC_036838.1",31311211,31338448,"PL","PL",1.52252326798162,0.495239811903903,-1.02728345607772,7.81562739659537e-13,7.38948961711434e-10
"38","LOC111965526",111965526,"NC_036838.1",32289562,32292991,"LB","LB",0.264970128322784,0.405007300227613,0.140037171904829,2.0875572928316e-05,0.00168832790424323
"39","LOC111966894",111966894,"NC_036838.1",37768027,37784110,"PL","PL",-0.944458080301096,0.0313079081485258,0.975765988449622,0.000667442771049571,0.0217782682320283
"40","LOC111970035",111970035,"NC_036838.1",38815117,38820310,"SB","SB",0.205918690414686,-0.892465822418324,-1.09838451283301,0.00214201704126834,0.0475121989487851
"41","LOC111967700",111967700,"NC_036838.1",40952815,41067314,"LB","LB",-0.436602659198352,-0.300117325507495,0.136485333690857,4.50061694555304e-06,0.000501653255625619
"42","LOC111967700",111967700,"NC_036838.1",40952816,41067314,"LB","LB",-0.436602659198352,-0.300117325507495,0.136485333690857,4.50061694555304e-06,0.000501653255625619
"43","LOC111967700",111967700,"NC_036838.1",40960060,41067314,"LB","LB",-0.436602659198352,-0.300117325507495,0.136485333690857,4.50061694555304e-06,0.000501653255625619
"44","LOC111967700",111967700,"NC_036838.1",40962521,41067314,"LB","LB",-0.436602659198352,-0.300117325507495,0.136485333690857,4.50061694555304e-06,0.000501653255625619
"45","LOC111967774",111967774,"NC_036838.1",42130724,42137728,"SB","SB",-0.186953524374442,-0.73848015736427,-0.551526632989829,6.45880831727292e-06,0.000674287510474735
"46","lg1h3orf14",111968183,"NC_036838.1",44447646,44454106,"PL","PL",0.655267074412173,0.128628596933836,-0.526638477478336,0.00129851390345826,0.0334613803415494
"47","lg1h3orf14",111968183,"NC_036838.1",44450619,44454106,"PL","PL",0.655267074412173,0.128628596933836,-0.526638477478336,0.00129851390345826,0.0334613803415494
"48","LOC111968735",111968735,"NC_036838.1",48015946,48036900,"PL","PL",3.74648560974392,-0.0581041215313344,-3.80458973127526,8.17532648929374e-14,9.83764287545013e-11
"49","gnl3l",111969171,"NC_036838.1",48886600,48900647,"ALL","PL",0.349522385300034,0.14879599455728,-0.200726390742754,8.82103402020722e-05,0.00503384236656736
"50","LOC111969394",111969394,"NC_036838.1",50162354,50169545,"PL","PL",0.662031740190264,0.0668827835753491,-0.595148956614915,0.000920768055131191,0.0265433257708032
"51","LOC111969394",111969394,"NC_036838.1",50162354,50169544,"PL","PL",0.662031740190264,0.0668827835753491,-0.595148956614915,0.000920768055131191,0.0265433257708032
"52","LOC111969394",111969394,"NC_036838.1",50162354,50166883,"PL","PL",0.662031740190264,0.0668827835753491,-0.595148956614915,0.000920768055131191,0.0265433257708032
"53","LOC111969394",111969394,"NC_036838.1",50162354,50166116,"PL","PL",0.662031740190264,0.0668827835753491,-0.595148956614915,0.000920768055131191,0.0265433257708032
"54","LOC111969996",111969996,"NC_036838.1",53446539,53452339,"LB","LB",0.4071252927842,0.312282652501968,-0.0948426402822317,0.000177275766590972,0.00867390095841226
"55","LOC111970032",111970032,"NC_036838.1",53500554,53509855,"SB","SB",-0.0344414762583093,0.258754912367905,0.293196388626214,0.00185109572957324,0.0426888808700113
"56","LOC111970032",111970032,"NC_036838.1",53500869,53509855,"SB","SB",-0.0344414762583093,0.258754912367905,0.293196388626214,0.00185109572957324,0.0426888808700113
"57","LOC111970032",111970032,"NC_036838.1",53504076,53509855,"SB","SB",-0.0344414762583093,0.258754912367905,0.293196388626214,0.00185109572957324,0.0426888808700113
"58","LOC111970340",111970340,"NC_036838.1",55091344,55097131,"PL","PL",-0.57837272799362,-0.227515527138789,0.350857200854832,2.54816758878741e-05,0.00198019050784243
"59","LOC111970494",111970494,"NC_036838.1",56451686,56476016,"PL","PL",-0.382469256864944,-0.0493141179101687,0.333155138954775,0.000969022845841539,0.0274464316750125
"60","LOC111970587",111970587,"NC_036838.1",56483125,56545491,"ALL","LB",-0.434834868969058,-0.244814616588228,0.19002025238083,0.00120138543284785,0.0318046770255922
"61","LOC111970587",111970587,"NC_036838.1",56483125,56545491,"ALL","LB",-0.434834868969058,-0.244814616588228,0.19002025238083,0.00120138543284785,0.0318046770255922
"62","LOC111970587",111970587,"NC_036838.1",56525260,56545491,"ALL","LB",-0.434834868969058,-0.244814616588228,0.19002025238083,0.00120138543284785,0.0318046770255922
"63","LOC111970429",111970429,"NC_036838.1",56705894,56722245,"PL","PL",-1.4276153641963,-0.166496529854044,1.26111883434226,5.61708044142773e-06,0.00060448310116286
"64","LOC111970429",111970429,"NC_036838.1",56705894,56722238,"PL","PL",-1.4276153641963,-0.166496529854044,1.26111883434226,5.61708044142773e-06,0.00060448310116286
"65","LOC111970456",111970456,"NC_036838.1",56799331,57094768,"ALL","LB",-0.495607205863324,-0.263498942482033,0.232108263381291,0.000940965589014595,0.0269011832539738
"66","LOC111970456",111970456,"NC_036838.1",56799331,57094768,"ALL","LB",-0.495607205863324,-0.263498942482033,0.232108263381291,0.000940965589014595,0.0269011832539738
"67","hesx1",111972918,"NC_036838.1",57255916,57257983,"SB","SB",-0.658463743747186,-2.67731461062852,-2.01885086688133,8.19676640655245e-06,0.000797778416676955
"68","il17rd",111970867,"NC_036838.1",57381084,57390699,"LB","LB",-0.222683208052672,-0.279509968597791,-0.0568267605451197,0.00070562917257074,0.0224343750542707
"69","il17rd",111970867,"NC_036838.1",57381084,57390699,"LB","LB",-0.222683208052672,-0.279509968597791,-0.0568267605451197,0.00070562917257074,0.0224343750542707
"70","LOC111973284",111973284,"NC_036839.1",2965996,2968413,"PL","PL",0.283929029604384,-0.150807139460007,-0.434736169064391,0.00226465281209698,0.0491685965928765
"71","LOC111973294",111973294,"NC_036839.1",3138440,3162097,"LB","LB",0.284119017681517,0.206873589405831,-0.0772454282756865,0.00107315061747483,0.0293895248413278
"72","LOC111973294",111973294,"NC_036839.1",3138440,3162097,"LB","LB",0.284119017681517,0.206873589405831,-0.0772454282756865,0.00107315061747483,0.0293895248413278
"73","pgap1",111973556,"NC_036839.1",5916478,5943040,"SB","SB",-0.150841150079435,0.308714201807071,0.459555351886505,0.00215044517071386,0.047626423719491
"74","pgap1",111973556,"NC_036839.1",5916478,5943040,"SB","SB",-0.150841150079435,0.308714201807071,0.459555351886505,0.00215044517071386,0.047626423719491
"75","LOC111974304",111974304,"NC_036839.1",11235355,11248280,"SB","SB",-0.21995401110596,-0.615579905770023,-0.395625894664063,8.29560877029941e-05,0.00480202076193279
"76","LOC111974791",111974791,"NC_036839.1",14110388,14116608,"PL","PL",-0.536462659535947,0.02105489964837,0.557517559184317,0.000507456914930898,0.0182033550965727
"77","LOC111974903",111974903,"NC_036839.1",14504413,14510663,"LB","LB",0.404544570174076,0.317232821961112,-0.0873117482129647,0.000195578586110379,0.00930110856819538
"78","LOC111975083",111975083,"NC_036839.1",14796308,14799760,"LB","LB",0.326700836457633,0.470067311848532,0.143366475390899,0.00217909952058594,0.047942197050887
"79","LOC111975055",111975055,"NC_036839.1",14800345,14823188,"ALL","PL",0.165301117401782,0.0699859174746908,-0.0953151999270916,9.19546741684361e-05,0.00520901585054008
"80","LOC111975273",111975273,"NC_036839.1",15415753,15418952,"PL","PL",0.352847856642852,0.0719559797259363,-0.280891876916916,0.000232464164733026,0.0103954414206627
"81","LOC111972208",111972208,"NC_036839.1",16706434,16710914,"LB","LB",1.04351936876885,0.700040203551036,-0.343479165217819,0.000757580630973485,0.0234597491723633
"82","LOC111975992",111975992,"NC_036839.1",17085396,17095600,"PL","PL",1.66170560746441,0.0134425283175418,-1.64826307914687,2.45361223011711e-14,3.89731766631802e-11
"83","LOC111976069",111976069,"NC_036839.1",17248033,17314794,"LB","LB",-0.529254697165145,-0.323857884627894,0.205396812537251,0.00231202286062679,0.0497617494826502
"84","LOC111976147",111976147,"NC_036839.1",17836379,17841781,"LB","LB",-0.209444801954553,-0.283945783287064,-0.0745009813325105,3.01711631239871e-06,0.000361962805937621
"85","LOC111976964",111976964,"NC_036839.1",22277761,22278816,"PL","PL",1.53664597868479,0.0386866080487516,-1.49795937063604,0.000310294436297835,0.012837708629283
"86","LOC111977243",111977243,"NC_036839.1",23768996,23774496,"ALL","PL",0.67004195655004,0.285396434724724,-0.384645521825316,2.78083215016903e-08,7.1705743300787e-06
"87","lrrc63",111977850,"NC_036839.1",29291564,29298617,"SB","SB",-0.186927774736822,0.369187788892752,0.556115563629574,9.9771783083498e-05,0.00559595692972558
"88","lrrc63",111977850,"NC_036839.1",29291565,29298617,"SB","SB",-0.186927774736822,0.369187788892752,0.556115563629574,9.9771783083498e-05,0.00559595692972558
"89","lrrc63",111977850,"NC_036839.1",29291567,29298617,"SB","SB",-0.186927774736822,0.369187788892752,0.556115563629574,9.9771783083498e-05,0.00559595692972558
"90","LOC111977883",111977883,"NC_036839.1",29357069,29365737,"PL","PL",0.336978575245905,0.00571242290666561,-0.33126615233924,0.00021090775129641,0.00972723206037216
"91","LOC111978250",111978250,"NC_036839.1",31488985,31490812,"PL","PL",1.72831621965484,0.403028382959843,-1.325287836695,0.00101671657046981,0.0281743300860824
"92","LOC111978670",111978670,"NC_036839.1",33547865,33553260,"SB","SB",0.189217092230589,0.882584454701519,0.69336736247093,0.000483845739808798,0.0176475770473695
"93","LOC111979017",111979017,"NC_036839.1",35134848,35137951,"ALL","PL",0.566959481583175,0.250152776125411,-0.316806705457763,1.94423553560987e-07,3.65589833789925e-05
"94","LOC111979044",111979044,"NC_036839.1",35278081,35281867,"PL","PL",1.27972806266752,-0.230322055808357,-1.51005011847587,7.82859404700748e-08,1.72707483114815e-05
"95","LOC111979044",111979044,"NC_036839.1",35278346,35281867,"PL","PL",1.27972806266752,-0.230322055808357,-1.51005011847587,7.82859404700748e-08,1.72707483114815e-05
"96","LOC111971829",111971829,"NC_036839.1",39263863,39281030,"PL","PL",-1.06176584593606,-0.0478645692117654,1.01390127672429,0.00221194043874908,0.0482881554825321
"97","LOC111979985",111979985,"NC_036839.1",40324018,40331407,"ALL","LB",0.269873733945595,0.507172342811783,0.237298608866188,5.41683719304922e-06,0.000586110640152546
"98","LOC111979985",111979985,"NC_036839.1",40324018,40331407,"ALL","LB",0.269873733945595,0.507172342811783,0.237298608866188,5.41683719304922e-06,0.000586110640152546
"99","LOC111971934",111971934,"NC_036839.1",40901013,41172846,"LB","LB",-1.10866464470004,-0.790289436693839,0.3183752080062,0.000407631241108628,0.0158231051656145
"100","LOC111955580",111955580,"NC_036840.1",508483,512163,"LB","LB",-0.303063639402823,-0.224351548843898,0.0787120905589252,0.000113360755870392,0.006166514541936
"101","LOC111980919",111980919,"NC_036840.1",828492,834889,"LB","LB",3.32981251447649,4.78969835259508,1.45988583811859,2.14996987186424e-19,1.06719129514661e-15
"102","LOC111981826",111981826,"NC_036840.1",882097,884558,"LB","LB",1.33009092680334,1.03772916492165,-0.292361761881692,5.9008774613898e-06,0.00062990280642954
"103","LOC111981826",111981826,"NC_036840.1",883479,894869,"LB","LB",1.33009092680334,1.03772916492165,-0.292361761881692,5.9008774613898e-06,0.00062990280642954
"104","pwp1",111981818,"NC_036840.1",1232450,1238183,"LB","LB",0.308306141633645,0.229618925147749,-0.0786872164858962,0.000238644452221559,0.0105883477069476
"105","LOC111982387",111982387,"NC_036840.1",1923690,1926335,"LB","LB",0.426762036175449,0.711298519493597,0.284536483318148,0.000555993069753592,0.0193840955223136
"106","LOC111982299",111982299,"NC_036840.1",2230668,2233803,"LB","LB",-0.571679593130296,-0.419295891553146,0.15238370157715,0.000174314305240703,0.00857747343383931
"107","LOC111982585",111982585,"NC_036840.1",3481945,3491869,"ALL","LB",0.729180896690202,0.409500019424375,-0.319680877265827,7.85454411586022e-07,0.000119963056477234
"108","LOC111955825",111955825,"NC_036840.1",5009160,5047537,"PL","PL",-0.336604768323436,0.132177319300467,0.468782087623903,2.41114707518608e-06,0.000303957620176633
"109","LOC111949557",111949557,"NC_036840.1",5869846,5875314,"PL","PL",1.07464864840787,-0.000216375255297751,-1.07486502366317,1.74550889258072e-08,4.74754507701235e-06
"110","LOC111949557",111949557,"NC_036840.1",5869846,5875037,"PL","PL",1.07464864840787,-0.000216375255297751,-1.07486502366317,1.74550889258072e-08,4.74754507701235e-06
"111","glt8d2",111949587,"NC_036840.1",5906131,5912304,"LB","LB",0.32292653252031,0.487371494554798,0.164444962034489,3.82730945263163e-05,0.00266189715329906
"112","glt8d2",111949587,"NC_036840.1",5906131,5912304,"LB","LB",0.32292653252031,0.487371494554798,0.164444962034489,3.82730945263163e-05,0.00266189715329906
"113","sfmbt2",111949695,"NC_036840.1",6354815,6401384,"PL","PL",-0.302184912874729,0.0239078741145017,0.326092786989231,0.00139735966404307,0.0352535910159787
"114","sfmbt2",111949695,"NC_036840.1",6354815,6401384,"PL","PL",-0.302184912874729,0.0239078741145017,0.326092786989231,0.00139735966404307,0.0352535910159787
"115","sfmbt2",111949695,"NC_036840.1",6354815,6401384,"PL","PL",-0.302184912874729,0.0239078741145017,0.326092786989231,0.00139735966404307,0.0352535910159787
"116","sfmbt2",111949695,"NC_036840.1",6354815,6401384,"PL","PL",-0.302184912874729,0.0239078741145017,0.326092786989231,0.00139735966404307,0.0352535910159787
"117","sfmbt2",111949695,"NC_036840.1",6354815,6401384,"PL","PL",-0.302184912874729,0.0239078741145017,0.326092786989231,0.00139735966404307,0.0352535910159787
"118","LOC111955942",111955942,"NC_036840.1",6875746,6891712,"SB","SB",-0.901751827773636,-2.5332835033941,-1.63153167562046,1.39808889410809e-05,0.00125323047370276
"119","stab2",111955984,"NC_036840.1",7617443,7660152,"ALL","PL",-0.195374413071466,0.158238770106375,0.353613183177841,0.000237207353481286,0.0105363579493757
"120","LOC111950358",111950358,"NC_036840.1",10413939,10417893,"ALL","PL",-0.88675444276449,-0.441213020318654,0.445541422445836,0.000289957218225762,0.0122728181788494
"121","LOC111950911",111950911,"NC_036840.1",12708103,12736091,"LB","LB",-0.917250460742449,-0.678354812987756,0.238895647754693,0.000120656686941432,0.00649224530954508
"122","LOC111951000",111951000,"NC_036840.1",12960903,12983165,"PL","PL",0.249603904160478,0.066025671685692,-0.183578232474786,7.88313648358857e-05,0.00462391949428807
"123","LOC111951000",111951000,"NC_036840.1",12960903,12983165,"PL","PL",0.249603904160478,0.066025671685692,-0.183578232474786,7.88313648358857e-05,0.00462391949428807
"124","LOC111951000",111951000,"NC_036840.1",12960904,12983165,"PL","PL",0.249603904160478,0.066025671685692,-0.183578232474786,7.88313648358857e-05,0.00462391949428807
"125","LOC111951000",111951000,"NC_036840.1",12960908,12983165,"PL","PL",0.249603904160478,0.066025671685692,-0.183578232474786,7.88313648358857e-05,0.00462391949428807
"126","LOC111951000",111951000,"NC_036840.1",12960909,12983165,"PL","PL",0.249603904160478,0.066025671685692,-0.183578232474786,7.88313648358857e-05,0.00462391949428807
"127","LOC111951000",111951000,"NC_036840.1",12960910,12983165,"PL","PL",0.249603904160478,0.066025671685692,-0.183578232474786,7.88313648358857e-05,0.00462391949428807
"128","LOC111951000",111951000,"NC_036840.1",12960911,12983165,"PL","PL",0.249603904160478,0.066025671685692,-0.183578232474786,7.88313648358857e-05,0.00462391949428807
"129","LOC111951000",111951000,"NC_036840.1",12975705,12983165,"PL","PL",0.249603904160478,0.066025671685692,-0.183578232474786,7.88313648358857e-05,0.00462391949428807
"130","LOC111951000",111951000,"NC_036840.1",12975705,12983165,"PL","PL",0.249603904160478,0.066025671685692,-0.183578232474786,7.88313648358857e-05,0.00462391949428807
"131","LOC111951000",111951000,"NC_036840.1",12975707,12983165,"PL","PL",0.249603904160478,0.066025671685692,-0.183578232474786,7.88313648358857e-05,0.00462391949428807
"132","LOC111951392",111951392,"NC_036840.1",15129361,15132959,"PL","PL",-1.02772411215865,0.327628171560665,1.35535228371931,0.000291577895748095,0.0122914630999542
"133","LOC111956194",111956194,"NC_036840.1",15132886,15133855,"PL","PL",1.65695628498375,0.7238585582338,-0.93309772674995,2.95212991223677e-05,0.00219155880414748
"134","LOC111951461",111951461,"NC_036840.1",15804769,15829482,"ALL","LB",-0.340498372051085,-0.178642161037908,0.161856211013177,0.00197768154224847,0.0450034957568142
"135","LOC111951596",111951596,"NC_036840.1",16479858,16496309,"LB","LB",0.308813138218923,0.330849288518937,0.0220361503000137,2.43642552456212e-05,0.00189706779569337
"136","LOC111951596",111951596,"NC_036840.1",16479858,16496069,"LB","LB",0.308813138218923,0.330849288518937,0.0220361503000137,2.43642552456212e-05,0.00189706779569337
"137","LOC111951596",111951596,"NC_036840.1",16479858,16496069,"LB","LB",0.308813138218923,0.330849288518937,0.0220361503000137,2.43642552456212e-05,0.00189706779569337
"138","LOC111951596",111951596,"NC_036840.1",16480769,16496309,"LB","LB",0.308813138218923,0.330849288518937,0.0220361503000137,2.43642552456212e-05,0.00189706779569337
"139","LOC111951596",111951596,"NC_036840.1",16480769,16496069,"LB","LB",0.308813138218923,0.330849288518937,0.0220361503000137,2.43642552456212e-05,0.00189706779569337
"140","LOC111951596",111951596,"NC_036840.1",16480792,16496069,"LB","LB",0.308813138218923,0.330849288518937,0.0220361503000137,2.43642552456212e-05,0.00189706779569337
"141","LOC111951596",111951596,"NC_036840.1",16480792,16496069,"LB","LB",0.308813138218923,0.330849288518937,0.0220361503000137,2.43642552456212e-05,0.00189706779569337
"142","LOC111951596",111951596,"NC_036840.1",16480797,16496069,"LB","LB",0.308813138218923,0.330849288518937,0.0220361503000137,2.43642552456212e-05,0.00189706779569337
"143","LOC111951596",111951596,"NC_036840.1",16483801,16496069,"LB","LB",0.308813138218923,0.330849288518937,0.0220361503000137,2.43642552456212e-05,0.00189706779569337
"144","lgi2",111951731,"NC_036840.1",17441891,17473901,"LB","LB",-1.20737413225932,-0.700627286490939,0.506746845768379,0.000410334071093451,0.0158659843847331
"145","LOC111951842",111951842,"NC_036840.1",18081613,18084986,"LB","LB",0.613236083868052,0.675464191434042,0.0622281075659899,0.000955087031407691,0.0271874595105372
"146","LOC111956268",111956268,"NC_036840.1",18706345,18741188,"SB","SB",-0.585522840292741,0.729225472410833,1.31474831270357,0.000103385262883305,0.0057499002648404
"147","hdac8",111951965,"NC_036840.1",19215169,19251361,"SB","SB",0.0598142157777243,0.376340500210037,0.316526284432313,0.000190642266174851,0.00913197151966625
"148","LOC111952129",111952129,"NC_036840.1",20411286,20418678,"ALL","LB",0.636059525627464,0.347031274259084,-0.28902825136838,1.15949774083585e-08,3.3045636875727e-06
"149","LOC111952129",111952129,"NC_036840.1",20412633,20418678,"ALL","LB",0.636059525627464,0.347031274259084,-0.28902825136838,1.15949774083585e-08,3.3045636875727e-06
"150","LOC111952350",111952350,"NC_036840.1",21282906,21294268,"LB","LB",0.153371254912196,0.138137759450017,-0.0152334954621794,0.00115398302337967,0.0309417055087147
"151","supt16h",111952498,"NC_036840.1",21770236,21791259,"ALL","LB",0.125954392107862,0.183296048645368,0.0573416565375063,0.000399497248606282,0.0155988552036927
"152","supt16h",111952498,"NC_036840.1",21770768,21791259,"ALL","LB",0.125954392107862,0.183296048645368,0.0573416565375063,0.000399497248606282,0.0155988552036927
"153","LOC111952947",111952947,"NC_036840.1",23056638,23104845,"LB","LB",-0.602365618151675,-0.400282914741615,0.202082703410059,8.96170846324731e-08,1.92361861121919e-05
"154","LOC111952947",111952947,"NC_036840.1",23056638,23104845,"LB","LB",-0.602365618151675,-0.400282914741615,0.202082703410059,8.96170846324731e-08,1.92361861121919e-05
"155","LOC111953864",111953864,"NC_036840.1",26584165,26587456,"SB","SB",0.0621632647795846,-0.268490631386825,-0.330653896166409,3.48278978939429e-05,0.00249192040606932
"156","LOC111954104",111954104,"NC_036840.1",27707663,27781384,"LB","LB",-0.52005951893674,-0.397064321076465,0.122995197860274,1.46717575060446e-05,0.00130438419153181
"157","LOC111954729",111954729,"NC_036840.1",31328930,31335084,"LB","LB",0.308320535296952,0.211130842599222,-0.0971896926977297,0.00109173860024251,0.029716310115272
"158","LOC111954760",111954760,"NC_036840.1",31426967,31429729,"LB","LB",0.31647615770201,0.210002499353767,-0.106473658348242,0.00200952136194458,0.0454406288170008
"159","LOC111954760",111954760,"NC_036840.1",31426968,31429729,"LB","LB",0.31647615770201,0.210002499353767,-0.106473658348242,0.00200952136194458,0.0454406288170008
"160","LOC111981433",111981433,"NC_036840.1",31761447,31763843,"LB","LB",0.594646739291048,0.481912323895877,-0.11273441539517,0.000186670199585647,0.00900689383419933
"161","LOC111954898",111954898,"NC_036840.1",32025269,32043017,"PL","PL",-0.65085934784427,-0.152508746799626,0.498350601044644,1.24467883462847e-06,0.000179314180629425
"162","LOC111954898",111954898,"NC_036840.1",32025269,32039788,"PL","PL",-0.65085934784427,-0.152508746799626,0.498350601044644,1.24467883462847e-06,0.000179314180629425
"163","LOC111955048",111955048,"NC_036840.1",32192266,32210902,"SB","SB",-0.203346427423081,0.483213175193078,0.686559602616159,4.06239857042412e-05,0.00277178431669316
"164","LOC111955048",111955048,"NC_036840.1",32199223,32210902,"SB","SB",-0.203346427423081,0.483213175193078,0.686559602616159,4.06239857042412e-05,0.00277178431669316
"165","LOC111955272",111955272,"NC_036840.1",33893625,33933683,"ALL","PL",0.436475431039175,0.188768551853559,-0.247706879185616,4.58361402975565e-06,0.000508422662350829
"166","LOC111955272",111955272,"NC_036840.1",33893908,33933683,"ALL","PL",0.436475431039175,0.188768551853559,-0.247706879185616,4.58361402975565e-06,0.000508422662350829
