"Residue","Morph_pvalue","Timepoint_pvalue","Sex_pvalue","MorphXTimepoint_pvalue","MorphXSex_pvalue","TimepointXSex_pvalue","chrom","start","temp","NW","NCBI","Morph_pvalue_corrected","Timepoint_pvalue_corrected","Sex_pvalue_corrected","MorphXTimepoint_pvalue_corrected","MorphXSex_pvalue_corrected","TimepointXSex_pvalue_corrected"
"chr036839.1_32818926",0.900051404078804,2.27224187522082e-06,0.624356581519115,0.00527519389113179,0.584290242456813,0.227662050879115,"chr036839.1",32818926,36839.1,"NC_","NC_036839.1",1,0.0327816335338108,1,1,1,1
"chr036839.1_32818950",0.707586898314112,1.49178755306552e-06,0.585702801954851,0.108643899778787,0.933375446528144,0.218861209453075,"chr036839.1",32818950,36839.1,"NC_","NC_036839.1",1,0.0215220190280762,1,1,1,1
"chr036839.1_32818995",0.901137791214324,3.26885077423555e-07,0.264023067732191,0.0870385437831292,0.428978186715179,0.013729304735982,"chr036839.1",32818995,36839.1,"NC_","NC_036839.1",1,0.00471597101198963,1,1,1,1
"chr036839.1_32819034",0.667993511002906,5.3039844715666e-07,0.043173192792494,0.0377632300152157,0.527155940207977,0.046801132098862,"chr036839.1",32819034,36839.1,"NC_","NC_036839.1",1,0.00765205839712913,1,1,1,1
"chr036839.1_34576981",0.896163508412458,1.00807591117094e-06,0.214729207196187,0.460619738888863,0.462854025577609,0.533287474194419,"chr036839.1",34576981,36839.1,"NC_","NC_036839.1",1,0.0145435111704632,1,1,1,1
"chr036840.1_6555804",0.14471737505719,2.57830132357939e-09,0.00711282273954544,0.0520720907793962,0.206845033509925,0.169898055209466,"chr036840.1",6555804,36840.1,"NC_","NC_036840.1",1,3.71971531952799e-05,1,1,1,1
"chr036840.1_14179100",0.0536749388293021,1.73766675992805e-06,0.779112562635817,0.0478021514122796,0.144140874557997,0.117234176039458,"chr036840.1",14179100,36840.1,"NC_","NC_036840.1",1,0.025069318345482,1,1,1,1
"chr036841.1_3616213",0.672637466207983,2.3131183624091e-06,0.623623802253052,0.291327638912429,0.547068549000435,0.432359757744359,"chr036841.1",3616213,36841.1,"NC_","NC_036841.1",1,0.0333713586144761,1,1,1,1
"chr036841.1_3616310",0.0890553789769426,5.14838991949555e-19,0.546639379031357,2.40080004340982e-08,0.665680814796922,0.363669706345728,"chr036841.1",3616310,36841.1,"NC_","NC_036841.1",1,7.42758213685624e-15,1,0.000346363422262735,1,1
"chr036841.1_12406744",0.00013486042818584,8.75037133881252e-11,0.849685321751072,0.39515245891863,0.49041607382232,0.566911516718282,"chr036841.1",12406744,36841.1,"NC_","NC_036841.1",1,1.26241607305048e-06,1,1,1,1
"chr036841.1_15308122",0.485615969092891,7.3079962312677e-08,0.248362225348277,0.0286728294399402,0.839915494023456,0.489581412930626,"chr036841.1",15308122,36841.1,"NC_","NC_036841.1",1,0.00105432461628499,1,1,1,1
"chr036841.1_15997613",0.136989548176502,2.55458233577077e-07,0.826175624334335,0.315994998444163,0.171715402783119,0.124427413378899,"chr036841.1",15997613,36841.1,"NC_","NC_036841.1",1,0.00368549593581649,1,1,1,1
"chr036841.1_15997824",2.48135340186288e-07,3.08465508596196e-15,0.324722751239922,0.614120106755255,0.540670296277174,0.677337179315034,"chr036841.1",15997824,36841.1,"NC_","NC_036841.1",0.00357984855286758,4.45023189251732e-11,1,1,1,1
"chr036841.1_15997853",0.000531259548738782,2.30206623403795e-06,0.335359727124213,0.620339877493607,0.0420819942986456,0.71923555439288,"chr036841.1",15997853,36841.1,"NC_","NC_036841.1",1,0.0332119095584656,1,1,1,1
"chr036841.1_15997945",0.00037227587895244,1.01269683450626e-09,0.452920174085083,0.894552946547298,0.843346677762659,0.327401283469536,"chr036841.1",15997945,36841.1,"NC_","NC_036841.1",1,1.46101772314218e-05,1,1,1,1
"chr036841.1_15997946",0.047147533588565,3.6499139524091e-09,0.460263169333369,0.607878136380665,0.953558684278685,0.511324216388019,"chr036841.1",15997946,36841.1,"NC_","NC_036841.1",1,5.26573085914062e-05,1,1,1,1
"chr036842.1_4406917",0.0173845442880792,3.47586764264504e-10,0.00443048312179361,0.0406154356104832,0.127308382736317,0.545004908461463,"chr036842.1",4406917,36842.1,"NC_","NC_036842.1",1,5.014634248044e-06,1,1,1,1
"chr036842.1_7568501",0.00341292296598091,1.07504846673066e-09,0.491902090567301,0.969614791743404,0.92235368437866,0.262230688743794,"chr036842.1",7568501,36842.1,"NC_","NC_036842.1",1,1.55097242295232e-05,1,1,1,1
"chr036842.1_7568631",0.321721827720384,5.79728068838983e-07,0.148279496570378,0.269136818922497,0.32140112886487,0.0680106268245231,"chr036842.1",7568631,36842.1,"NC_","NC_036842.1",1,0.00836373684914001,1,1,1,1
"chr036842.1_12099809",0.0616684656877336,3.86625508087155e-07,0.578067576041015,0.994943553909876,0.0195550018892689,0.956170719081005,"chr036842.1",12099809,36842.1,"NC_","NC_036842.1",1,0.00557784620517339,1,1,1,1
"chr036842.1_15645613",8.30557848529443e-05,1.11950184109278e-07,0.733160459927396,0.12860010054458,0.9955718548302,0.191661479724128,"chr036842.1",15645613,36842.1,"NC_","NC_036842.1",1,0.00161510530614455,1,1,1,1
"chr036842.1_16641493",0.0272037234732911,6.18962170961595e-08,0.45157651715087,0.810003196267671,0.173314822985025,0.993124070580763,"chr036842.1",16641493,36842.1,"NC_","NC_036842.1",1,0.000892976724046294,1,1,1,1
"chr036842.1_19257371",0.000558241670432136,1.70532007942895e-08,0.901682733599562,0.0012141881326632,0.428688787111094,0.0138334868988263,"chr036842.1",19257371,36842.1,"NC_","NC_036842.1",1,0.000246026527859215,1,1,1,1
"chr036842.1_22612298",0.0625268845860318,1.72927634639773e-14,0.759515293792199,0.908351176923379,0.799362007731963,0.240849597836965,"chr036842.1",22612298,36842.1,"NC_","NC_036842.1",1,2.494826984948e-10,1,1,1,1
"chr036842.1_28823068",0.0202336636799555,8.06059063981867e-07,0.387937266556708,0.0832688799777822,0.615360063801448,0.784687289484775,"chr036842.1",28823068,36842.1,"NC_","NC_036842.1",1,0.0116290141160664,1,1,1,1
"chr036842.1_45834376",0.000240870161025846,1.87793635351608e-11,0.986091523638631,2.73703445264507e-05,0.327493078745224,0.95105659627346,"chr036842.1",45834376,36842.1,"NC_","NC_036842.1",1,2.70929877721764e-07,1,0.394871960483104,1,1
"chr036842.1_45957814",0.0013286783571723,9.33868631619746e-11,0.0203773457611121,0.651444264629607,0.282551106877635,0.210728552671941,"chr036842.1",45957814,36842.1,"NC_","NC_036842.1",1,1.34729227483781e-06,1,1,1,1
"chr036842.1_45957897",0.0707907104079911,3.44968729142053e-10,0.78673519391143,0.00267284618525953,0.396977582023409,0.50143928911584,"chr036842.1",45957897,36842.1,"NC_","NC_036842.1",1,4.9768638553324e-06,1,1,1,1
"chr036842.1_45957986",0.134112548579716,1.1829583200974e-07,0.638262693787013,0.333357108039976,0.0305104434879922,0.520763590149398,"chr036842.1",45957986,36842.1,"NC_","NC_036842.1",1,0.00170665396840452,1,1,1,1
"chr036842.1_45957995",0.011244681960679,1.84735453150902e-14,0.0542793639969165,0.556866284004916,0.789782408777733,0.885526504459987,"chr036842.1",45957995,36842.1,"NC_","NC_036842.1",1,2.66517838260806e-10,1,1,1,1
"chr036842.1_45958013",0.000668120690291542,5.99414959007764e-09,0.10229357735617,0.629701369620646,0.757228425439371,0.952968798052788,"chr036842.1",45958013,36842.1,"NC_","NC_036842.1",1,8.64775961360501e-05,1,1,1,1
"chr036842.1_46562312",0.00087349494088459,2.46166225921378e-07,0.118685135495616,0.036381187245408,0.881720614303718,0.259921678978595,"chr036842.1",46562312,36842.1,"NC_","NC_036842.1",1,0.00355144014136772,1,1,1,1
"chr036842.1_53077583",0.021751754978339,3.9061793495082e-10,0.460314162475732,0.22608624100102,0.165108520175384,0.701334542758026,"chr036842.1",53077583,36842.1,"NC_","NC_036842.1",1,5.63544494753549e-06,1,1,1,1
"chr036842.1_53499118",1.55496704374942e-07,5.48999693507624e-55,0.808242771684042,2.35304703343521e-13,0.0771094302745468,0.55005932411028,"chr036842.1",53499118,36842.1,"NC_","NC_036842.1",0.00224335095401729,7.92041857823449e-51,1,3.39474095513698e-09,1,1
"chr036842.1_53499131",6.78098440862989e-08,3.1529696594492e-53,0.906838353791499,2.8109658430682e-12,0.18289537553614,0.914439542022944,"chr036842.1",53499131,36842.1,"NC_","NC_036842.1",0.000978292620633034,4.54878932768736e-49,1,4.05538042179449e-08,1,1
"chr036842.1_55436012",0.000360014787329689,3.53762892299234e-08,0.435753108219787,0.00105185038878472,0.240008635440183,0.0961562935563395,"chr036842.1",55436012,36842.1,"NC_","NC_036842.1",1,0.000510373724720106,1,1,1,1
"chr036842.1_62181780",0.359828188806425,3.20910276032422e-07,0.981054468878052,0.588723596228613,0.0324975962415792,0.000372927836216381,"chr036842.1",62181780,36842.1,"NC_","NC_036842.1",1,0.00462977255231976,1,1,1,1
"chr036842.1_62183060",0.526081293049683,8.42452550504045e-11,0.536240762186307,0.904773341501416,0.00639969492761642,0.00217885269349581,"chr036842.1",62183060,36842.1,"NC_","NC_036842.1",1,1.21540629461219e-06,1,1,1,1
"chr036842.1_62932148",1.06377618084077e-13,2.60324596260006e-20,0.0103370084089023,0.00314503020747197,0.00293038786435909,0.390313013731798,"chr036842.1",62932148,36842.1,"NC_","NC_036842.1",1.53470989609898e-09,3.7557029502431e-16,1,1,1,1
"chr036842.1_62932166",0.0138215503398531,3.07568609499497e-07,0.808884010932746,0.497562265098656,0.450114577948049,0.936664853745645,"chr036842.1",62932166,36842.1,"NC_","NC_036842.1",1,0.00443729232924924,1,1,1,1
"chr036842.1_62932184",0.0154726870281722,2.25258446441068e-06,0.835288676782494,0.852435515620568,0.174070397655553,0.457192405481886,"chr036842.1",62932184,36842.1,"NC_","NC_036842.1",1,0.0324980360680528,1,1,1,1
"chr036842.1_62932256",0.00103150350059888,1.08275424347145e-06,0.773681075969998,0.256419299304216,0.141139505406434,0.00884332715779714,"chr036842.1",62932256,36842.1,"NC_","NC_036842.1",1,0.0156208954705626,1,1,1,1
"chr036842.1_62932283",7.39623004671083e-23,3.29561026167666e-24,0.370489619470464,0.0431022339279243,0.468607689618857,0.955443254350069,"chr036842.1",62932283,36842.1,"NC_","NC_036842.1",1.06705410883897e-18,4.75457692452091e-20,1,1,1,1
"chr036842.1_62932301",2.99422790790318e-13,8.0837009603307e-15,0.236048011675329,0.483975185893551,0.268594897841086,0.404053472472869,"chr036842.1",62932301,36842.1,"NC_","NC_036842.1",4.31977260273192e-09,1.16623553754691e-10,1,1,1,1
"chr036842.1_63125779",0.000300292999160542,7.27335505186952e-07,0.00501608586762986,0.0396000496065383,2.46118007654511e-06,0.00132925461045093,"chr036842.1",63125779,36842.1,"NC_","NC_036842.1",1,0.0104932693333322,1,1,0.0355074449643163,1
"chr036842.1_70045780",0.0905160423730959,9.8360165030239e-10,0.0268467820968485,0.0757203582912119,0.502854519000588,0.594998317683868,"chr036842.1",70045780,36842.1,"NC_","NC_036842.1",1,1.41904210089126e-05,1,1,1,1
"chr036842.1_74648221",0.00920749132501313,8.54393736224134e-10,0.488660031289408,0.686833292269331,0.716722752209502,0.860280003285833,"chr036842.1",74648221,36842.1,"NC_","NC_036842.1",1,1.23263384325056e-05,1,1,1,1
"chr036842.1_77621472",2.51968206822216e-05,1.20904740647719e-06,0.0308145771918257,8.75559439046098e-05,0.069263120810032,0.0293997545056351,"chr036842.1",77621472,36842.1,"NC_","NC_036842.1",0.363514531982411,0.0174429269332464,1,1,1,1
"chr036842.1_78644781",0.0484101432933302,2.29187132379014e-06,0.912709744503358,0.848542331643232,0.111936831951175,0.951847986338673,"chr036842.1",78644781,36842.1,"NC_","NC_036842.1",1,0.0330648275883203,1,1,1,1
"chr036842.1_78644887",1.04039343117435e-10,3.38100176366849e-35,0.307701798995817,0.011280768307598,0.00125205701117586,0.362868860931123,"chr036842.1",78644887,36842.1,"NC_","NC_036842.1",1.50097560315524e-06,4.87777124444453e-31,1,1,1,1
"chr036842.1_78644940",0.291178376841983,3.01064520217451e-09,0.430662507271338,0.436221002647993,0.775265605559659,0.189801872404515,"chr036842.1",78644940,36842.1,"NC_","NC_036842.1",1,4.34345783317716e-05,1,1,1,1
"chr036842.1_81293711",0.00194122674490031,2.60911119931966e-09,0.248459132344045,0.425031047893676,0.000826548917699285,0.549436514290595,"chr036842.1",81293711,36842.1,"NC_","NC_036842.1",1,3.76416472725847e-05,1,1,1,1
"chr036842.1_87423758",5.30375208632637e-05,2.6749069497048e-07,0.0482633530140559,0.125856295540016,0.456909487811715,0.0719296868621355,"chr036842.1",87423758,36842.1,"NC_","NC_036842.1",0.765172313494306,0.00385908825633911,1,1,1,1
"chr036842.1_87423773",0.000623566868199929,5.02591460021568e-15,0.333969738695622,0.000627261130034423,0.421073509994432,0.458948751442384,"chr036842.1",87423773,36842.1,"NC_","NC_036842.1",1,7.25088699373117e-11,1,1,1,1
"chr036843.1_2527344",0.0443679168613567,1.78964438451694e-10,0.291706770378019,0.63324189702369,0.850256325685272,0.234300209482322,"chr036843.1",2527344,36843.1,"NC_","NC_036843.1",1,2.58191995354259e-06,1,1,1,1
"chr036843.1_2826807",0.0201646612255185,2.35890702693381e-12,8.70837741401878e-07,0.721726282172254,0.0613751109929265,0.221036804911012,"chr036843.1",2826807,36843.1,"NC_","NC_036843.1",1,3.4031951677574e-08,0.0125635760952049,1,1,1
"chr036843.1_16991738",6.12444094431436e-06,6.05280647886853e-32,0.819026035662291,0.018315340574682,0.0217299595128751,0.821719909858529,"chr036843.1",16991738,36843.1,"NC_","NC_036843.1",0.0883573095036233,8.73238390706362e-28,1,1,1,1
"chr036843.1_16991786",1.55775836229495e-12,5.90732207603163e-18,0.430935605890381,0.472704416876984,0.0185342604453818,0.0495954264924869,"chr036843.1",16991786,36843.1,"NC_","NC_036843.1",2.24737798928293e-08,8.52249355909083e-14,1,1,1,1
"chr036843.1_16991833",0.000157381512723963,1.11310669237563e-07,0.22625884193489,0.809115974564258,0.0450144431913379,0.259208746300511,"chr036843.1",16991833,36843.1,"NC_","NC_036843.1",1,0.00160587902509033,1,1,1,1
"chr036843.1_16991889",0.00248395956341865,1.34175507491891e-06,0.815797927636745,0.632832178192332,0.141270530228947,0.142642273261196,"chr036843.1",16991889,36843.1,"NC_","NC_036843.1",1,0.0193575004658552,1,1,1,1
"chr036843.1_17207389",0.00226504710673213,9.25452427825041e-10,0.828658342558146,0.608561394586572,0.371184709260017,0.440009468147158,"chr036843.1",17207389,36843.1,"NC_","NC_036843.1",1,1.33515021762319e-05,1,1,1,1
"chr036843.1_17207435",0.00109292254490374,1.35543246192758e-07,0.260367007969749,0.505619356283473,0.825970184440783,0.076425269405731,"chr036843.1",17207435,36843.1,"NC_","NC_036843.1",1,0.00195548241282292,1,1,1,1
"chr036843.1_17207471",0.012835408774875,1.49239592649993e-06,0.900913265893004,0.947793295654185,0.57241490030082,0.92828119973137,"chr036843.1",17207471,36843.1,"NC_","NC_036843.1",1,0.0215307960316144,1,1,1,1
"chr036843.1_17207496",0.0839587053088863,7.1120622833958e-08,0.406269080643147,0.374076826683184,0.924823493994308,0.858549257753233,"chr036843.1",17207496,36843.1,"NC_","NC_036843.1",1,0.00102605722562551,1,1,1,1
"chr036843.1_18437079",0.925389793044669,1.44324723322564e-08,0.000116870038412953,0.562871421892285,0.72704094075868,0.0725234670223739,"chr036843.1",18437079,36843.1,"NC_","NC_036843.1",1,0.000208217278337463,1,1,1,1
"chr036844.1_10723848",4.79640197144137e-05,3.01985613810957e-15,6.85917595570447e-07,0.0120120412016466,0.000151303286095107,0.0342207523421852,"chr036844.1",10723848,36844.1,"NC_","NC_036844.1",0.691976912419847,4.35674645045067e-11,0.00989573315129484,1,1,1
"chr036844.1_16136545",0.000979743503519099,3.75764221059488e-18,0.00767365582640624,0.00669760979994507,0.295037257093124,0.00575646045766662,"chr036844.1",16136545,36844.1,"NC_","NC_036844.1",1,5.42115041722523e-14,1,1,1,1
"chr036844.1_16136678",0.00140228168427183,2.82122494064947e-22,0.0233135350042366,0.0442313591620327,0.00318068722725918,0.0107208523225451,"chr036844.1",16136678,36844.1,"NC_","NC_036844.1",1,4.07018122187499e-18,1,1,1,1
"chr036844.1_27245991",0.284995651977194,1.99034013993208e-09,0.263432734113089,0.0408663793312219,0.0715206262094131,0.779131892763124,"chr036844.1",27245991,36844.1,"NC_","NC_036844.1",1,2.87146371988001e-05,1,1,1,1
"chr036844.1_29681269",0.549734497384484,2.0500964474282e-06,0.0162660894007003,9.96378422788244e-05,0.0334373815815975,0.414264086154976,"chr036844.1",29681269,36844.1,"NC_","NC_036844.1",1,0.0295767414470466,1,1,1,1
"chr036844.1_31343281",0.23710116921641,9.6763444857828e-07,0.974518484373391,0.76245091568001,0.423505100489194,0.943615151812016,"chr036844.1",31343281,36844.1,"NC_","NC_036844.1",1,0.0139600621896388,1,1,1,1
"chr036844.1_34415424",0.0640525640583107,1.90619941780321e-12,0.981240578133402,0.258263490496641,0.531428573814335,0.258696395040879,"chr036844.1",34415424,36844.1,"NC_","NC_036844.1",1,2.75007390006469e-08,1,1,1,1
"chr036845.1_11948145",0.0833635046454444,2.09527945954381e-26,0.363934475072725,0.0237633368681712,0.401008105885093,0.30410874110703,"chr036845.1",11948145,36845.1,"NC_","NC_036845.1",1,3.02285967628385e-22,1,1,1,1
"chr036845.1_22458653",1.20416701561751e-08,1.53369588102976e-07,0.525807389523797,0.13696589960365,0.0186642940406498,0.17612898975881,"chr036845.1",22458653,36845.1,"NC_","NC_036845.1",0.000173725175343138,0.00221266304756164,1,1,1,1
"chr036845.1_22458738",0.000247307038004321,5.16653793043005e-19,0.760645242045915,0.540148644198297,0.577209848747744,0.601951813583243,"chr036845.1",22458738,36845.1,"NC_","NC_036845.1",1,7.45376427223144e-15,1,1,1,1
"chr036846.1_962954",0.000257663600183179,8.74699841635687e-07,0.791428660797091,0.202097305433551,0.777131515759483,0.353659684242828,"chr036846.1",962954,36846.1,"NC_","NC_036846.1",1,0.0126192946152781,1,1,1,1
"chr036846.1_963136",0.00125061834808432,1.30456436449769e-18,0.791650517582259,0.994233244997089,0.307510674750082,0.488550197136713,"chr036846.1",963136,36846.1,"NC_","NC_036846.1",1,1.88209500866081e-14,1,1,1,1
"chr036846.1_22755166",0.316934293067011,1.49916168310282e-07,0.117259007303628,0.238467557574137,0.262991901557855,0.000241802568973015,"chr036846.1",22755166,36846.1,"NC_","NC_036846.1",1,0.00216284056021243,1,1,1,1
"chr036846.1_22755167",0.0792191893449744,5.27528643683999e-07,0.831668741463323,0.26595110437348,0.960212665205855,0.819702505142092,"chr036846.1",22755167,36846.1,"NC_","NC_036846.1",1,0.00761065574242905,1,1,1,1
"chr036846.1_22755172",0.00500027947382937,6.40350052846937e-07,0.0222944318802811,0.261733281010837,0.201579482592968,0.0292973646392337,"chr036846.1",22755172,36846.1,"NC_","NC_036846.1",1,0.00923833021242277,1,1,1,1
"chr036846.1_22755177",0.0202532859352544,1.28898659963057e-06,0.439239134811698,0.0921290774614076,0.226025684898869,0.000574368885654267,"chr036846.1",22755177,36846.1,"NC_","NC_036846.1",1,0.0185962096728703,1,1,1,1
"chr036846.1_22755274",0.0894399195588944,3.38527376766794e-06,0.895265882140521,0.708101072059516,0.566059752384965,0.00187440481630175,"chr036846.1",22755274,36846.1,"NC_","NC_036846.1",1,0.0488393446461453,1,1,1,1
"chr036846.1_22755286",0.0377747009795769,1.32348403799731e-22,0.248175918525162,1.12461150070451e-05,0.0426858175938906,0.116083964039612,"chr036846.1",22755286,36846.1,"NC_","NC_036846.1",1,1.90939042161871e-18,1,0.162247701206639,1,1
"chr036846.1_22755959",0.198818413048308,2.10943936727219e-06,0.999558119798731,0.915979596387536,0.885754305531204,0.355043550723364,"chr036846.1",22755959,36846.1,"NC_","NC_036846.1",1,0.0304328817516359,1,1,1,1
"chr036846.1_22755996",0.00852326880374629,2.19551099446078e-08,0.66279482724893,0.993742788065706,0.985665777382095,0.196910685897368,"chr036846.1",22755996,36846.1,"NC_","NC_036846.1",1,0.000316746371170856,1,1,1,1
"chr036846.1_22756078",0.0539254820481299,8.97095303007443e-07,0.810559514700143,0.258843412797003,0.176882158687721,0.442019201907859,"chr036846.1",22756078,36846.1,"NC_","NC_036846.1",1,0.0129423939364884,1,1,1,1
"chr036846.1_22756106",0.0869427668733471,2.63807432020288e-08,0.0917242756504296,0.0503991118773865,0.0474198123448101,0.727201551231351,"chr036846.1",22756106,36846.1,"NC_","NC_036846.1",1,0.000380594982175669,1,1,1,1
"chr036847.1_11228930",0.146563368767394,2.06577852939307e-09,0.239635414926187,0.292574443349012,0.232222087105524,0.361311515032886,"chr036847.1",11228930,36847.1,"NC_","NC_036847.1",1,2.98029868435538e-05,1,1,1,1
"chr036847.1_16998563",0.127033360774829,2.94877982846742e-07,0.00928609245256674,0.483099106394805,0.849980778630381,0.025270271350291,"chr036847.1",16998563,36847.1,"NC_","NC_036847.1",1,0.00425420465852995,1,1,1,1
"chr036847.1_16998635",0.00152161939876716,1.43866084226154e-07,0.678804264956744,0.82919257211741,0.129928122424951,0.724654396922477,"chr036847.1",16998635,36847.1,"NC_","NC_036847.1",1,0.00207555599713073,1,1,1,1
"chr036847.1_16998765",0.000176510930209948,3.32691386734928e-10,0.0217130261392188,0.907077155516094,0.0207939707504791,0.116181908356371,"chr036847.1",16998765,36847.1,"NC_","NC_036847.1",1,4.7997386364248e-06,1,1,1,1
"chr036847.1_17337195",0.000166459118293089,2.00613109048254e-07,0.486004896117984,0.0155386100078353,0.0495965556744743,1.47136655250632e-09,"chr036847.1",17337195,36847.1,"NC_","NC_036847.1",1,0.00289424532423916,1,1,1,2.12274052530087e-05
