"NCBI","POS","fst_LB","fst_SB","fst_PL","highest","chrom","start","end"
"NC_036838.1",20730000,0.00228256,0.550576,0,0.550576,"chr036838.1",20680001,20780000
"NC_036838.1",20740000,0.00859209,0.543417,0,0.543417,"chr036838.1",20690001,20790000
"NC_036838.1",20750000,0.0157743,0.508798,0,0.508798,"chr036838.1",20700001,20800000
"NC_036838.1",20760000,0.0293661,0.449739,0.021338,0.449739,"chr036838.1",20710001,20810000
"NC_036838.1",20770000,0.0654127,0.270052,0.0459325,0.270052,"chr036838.1",20720001,20820000
"NC_036838.1",20780000,0.0461419,0.216229,0.0361798,0.216229,"chr036838.1",20730001,20830000
"NC_036838.1",20930000,0.15442,0.156267,0.248189,0.248189,"chr036838.1",20880001,20980000
"NC_036838.1",20940000,0.194475,0.168267,0.320448,0.320448,"chr036838.1",20890001,20990000
"NC_036838.1",20950000,0.241662,0.156668,0.411019,0.411019,"chr036838.1",20900001,2.1e+07
"NC_036838.1",20960000,0.233153,0.157698,0.441597,0.441597,"chr036838.1",20910001,21010000
"NC_036838.1",20970000,0.225565,0.158705,0.419641,0.419641,"chr036838.1",20920001,21020000
"NC_036838.1",20980000,0.226035,0.140524,0.410507,0.410507,"chr036838.1",20930001,21030000
"NC_036838.1",20990000,0.221022,0.144474,0.439038,0.439038,"chr036838.1",20940001,21040000
"NC_036838.1",2.1e+07,0.214908,0.132057,0.452134,0.452134,"chr036838.1",20950001,21050000
"NC_036838.1",21010000,0.193252,0.0869983,0.438388,0.438388,"chr036838.1",20960001,21060000
"NC_036838.1",21020000,0.18585,0.052934,0.41608,0.41608,"chr036838.1",20970001,21070000
"NC_036838.1",21030000,0.174462,0.0523132,0.389248,0.389248,"chr036838.1",20980001,21080000
"NC_036838.1",21040000,0.129256,0.0412441,0.364688,0.364688,"chr036838.1",20990001,21090000
"NC_036838.1",21050000,0,0.0221034,0.290015,0.290015,"chr036838.1",21000001,21100000
"NC_036838.1",21060000,0,0.025428,0.259589,0.259589,"chr036838.1",21010001,21110000
"NC_036838.1",21070000,0,0.0157481,0.247546,0.247546,"chr036838.1",21020001,21120000
"NC_036838.1",21080000,0.000685987,0.00937338,0.249857,0.249857,"chr036838.1",21030001,21130000
"NC_036838.1",21090000,0.00587913,0,0.218642,0.218642,"chr036838.1",21040001,21140000
"NC_036838.1",21100000,0.00662929,0,0.206058,0.206058,"chr036838.1",21050001,21150000
"NC_036838.1",22300000,0.0484915,0,0.201808,0.201808,"chr036838.1",22250001,22350000
"NC_036838.1",25670000,0.202681,0.0607543,0.0683658,0.202681,"chr036838.1",25620001,25720000
"NC_036838.1",25680000,0.242533,0.0768981,0.0692847,0.242533,"chr036838.1",25630001,25730000
"NC_036838.1",26930000,0,0,0.271179,0.271179,"chr036838.1",26880001,26980000
"NC_036838.1",26940000,0,0.00593451,0.349271,0.349271,"chr036838.1",26890001,26990000
"NC_036838.1",26950000,0,0,0.350239,0.350239,"chr036838.1",26900001,2.7e+07
"NC_036838.1",26960000,0,0,0.348079,0.348079,"chr036838.1",26910001,27010000
"NC_036838.1",26970000,0,0,0.362848,0.362848,"chr036838.1",26920001,27020000
"NC_036838.1",26980000,0.00998289,0,0.361399,0.361399,"chr036838.1",26930001,27030000
"NC_036838.1",27480000,0.0603863,0.255463,0,0.255463,"chr036838.1",27430001,27530000
"NC_036838.1",27490000,0.0616336,0.269008,0,0.269008,"chr036838.1",27440001,27540000
"NC_036838.1",27500000,0.0698771,0.235293,0,0.235293,"chr036838.1",27450001,27550000
"NC_036838.1",27510000,0.0637688,0.238823,0,0.238823,"chr036838.1",27460001,27560000
"NC_036838.1",27520000,0.055594,0.261964,0,0.261964,"chr036838.1",27470001,27570000
"NC_036838.1",27530000,0.0592075,0.265307,0,0.265307,"chr036838.1",27480001,27580000
"NC_036838.1",27540000,0.0628686,0.271541,0,0.271541,"chr036838.1",27490001,27590000
"NC_036838.1",27610000,0.202362,0.0455498,0,0.202362,"chr036838.1",27560001,27660000
"NC_036838.1",27620000,0.217622,0.0325835,0,0.217622,"chr036838.1",27570001,27670000
"NC_036838.1",27630000,0.233419,0.0184168,0,0.233419,"chr036838.1",27580001,27680000
"NC_036838.1",27640000,0.241932,0.0205877,0,0.241932,"chr036838.1",27590001,27690000
"NC_036838.1",27750000,0.0241384,0.249664,0,0.249664,"chr036838.1",27700001,27800000
"NC_036838.1",27760000,0.0241884,0.264715,0.00890611,0.264715,"chr036838.1",27710001,27810000
"NC_036838.1",27770000,0.0320937,0.287774,0.0161848,0.287774,"chr036838.1",27720001,27820000
"NC_036838.1",27780000,0.0332861,0.302535,0.0177916,0.302535,"chr036838.1",27730001,27830000
"NC_036838.1",27790000,0.0377113,0.332562,0.0176057,0.332562,"chr036838.1",27740001,27840000
"NC_036838.1",27800000,0.0343765,0.321838,0.0206765,0.321838,"chr036838.1",27750001,27850000
"NC_036838.1",27810000,0.0332016,0.306903,0.0174215,0.306903,"chr036838.1",27760001,27860000
"NC_036838.1",27820000,0.033867,0.288793,0.0213371,0.288793,"chr036838.1",27770001,27870000
"NC_036838.1",27830000,0.0377667,0.300932,0.023172,0.300932,"chr036838.1",27780001,27880000
"NC_036838.1",27840000,0.037978,0.301541,0.0314023,0.301541,"chr036838.1",27790001,27890000
"NC_036838.1",28130000,0.202664,0,0,0.202664,"chr036838.1",28080001,28180000
"NC_036838.1",28140000,0.211269,0,0,0.211269,"chr036838.1",28090001,28190000
"NC_036838.1",28150000,0.223343,0,0,0.223343,"chr036838.1",28100001,28200000
"NC_036838.1",28160000,0.208979,0,0,0.208979,"chr036838.1",28110001,28210000
"NC_036838.1",28300000,0.234908,0,0.0547294,0.234908,"chr036838.1",28250001,28350000
"NC_036838.1",28310000,0.39045,0,0.0214602,0.39045,"chr036838.1",28260001,28360000
"NC_036838.1",28320000,0.426148,0,0.0111246,0.426148,"chr036838.1",28270001,28370000
"NC_036838.1",28330000,0.437724,0,0.00840313,0.437724,"chr036838.1",28280001,28380000
"NC_036838.1",28340000,0.462089,0,0.00493442,0.462089,"chr036838.1",28290001,28390000
"NC_036838.1",28350000,0.400541,0,0,0.400541,"chr036838.1",28300001,28400000
"NC_036838.1",28360000,0.375927,0,0,0.375927,"chr036838.1",28310001,28410000
"NC_036838.1",28370000,0.35827,0,0,0.35827,"chr036838.1",28320001,28420000
"NC_036838.1",28380000,0.250686,0,0.0020915,0.250686,"chr036838.1",28330001,28430000
"NC_036838.1",28390000,0.214882,0,0,0.214882,"chr036838.1",28340001,28440000
"NC_036838.1",28730000,0.0185198,0.00638445,0.220214,0.220214,"chr036838.1",28680001,28780000
"NC_036838.1",28740000,0.0270454,0.00448258,0.249413,0.249413,"chr036838.1",28690001,28790000
"NC_036838.1",28750000,0.0346458,0.019179,0.234032,0.234032,"chr036838.1",28700001,28800000
"NC_036838.1",28760000,0.0438535,0.00771456,0.228538,0.228538,"chr036838.1",28710001,28810000
"NC_036838.1",28770000,0.0380322,0.0137151,0.219792,0.219792,"chr036838.1",28720001,28820000
"NC_036838.1",29550000,0.255524,0,0.0415704,0.255524,"chr036838.1",29500001,29600000
"NC_036838.1",29560000,0.248696,0,0.0384335,0.248696,"chr036838.1",29510001,29610000
"NC_036838.1",29570000,0.253702,0,0.0377833,0.253702,"chr036838.1",29520001,29620000
"NC_036838.1",29580000,0.258248,0,0.0243295,0.258248,"chr036838.1",29530001,29630000
"NC_036838.1",29590000,0.199145,0.0130588,0.00788886,0.199145,"chr036838.1",29540001,29640000
"NC_036838.1",29600000,0.20587,0.0357624,0,0.20587,"chr036838.1",29550001,29650000
"NC_036838.1",29610000,0.209089,0.0370618,0,0.209089,"chr036838.1",29560001,29660000
"NC_036838.1",29620000,0.22462,0.0400221,0,0.22462,"chr036838.1",29570001,29670000
"NC_036838.1",30980000,0,0.0176107,0.214942,0.214942,"chr036838.1",30930001,31030000
"NC_036838.1",30990000,0,0.0323847,0.226952,0.226952,"chr036838.1",30940001,31040000
"NC_036838.1",3.1e+07,0,0.0177497,0.211739,0.211739,"chr036838.1",30950001,31050000
"NC_036838.1",31010000,0,0.0222994,0.223946,0.223946,"chr036838.1",30960001,31060000
"NC_036838.1",31180000,0.0238416,0.0436036,0.243827,0.243827,"chr036838.1",31130001,31230000
"NC_036838.1",31190000,0.0133965,0.0348908,0.209831,0.209831,"chr036838.1",31140001,31240000
"NC_036838.1",31200000,0.0140002,0.0344005,0.204102,0.204102,"chr036838.1",31150001,31250000
"NC_036838.1",31210000,0.0265334,0.0198081,0.215489,0.215489,"chr036838.1",31160001,31260000
"NC_036838.1",31220000,0.0279869,0.0183348,0.209627,0.209627,"chr036838.1",31170001,31270000
"NC_036838.1",31330000,0.0397321,0.0616456,0.208964,0.208964,"chr036838.1",31280001,31380000
"NC_036838.1",31350000,0.0289996,0.0840148,0.222119,0.222119,"chr036838.1",31300001,31400000
"NC_036838.1",31360000,0.0205036,0.0799241,0.212653,0.212653,"chr036838.1",31310001,31410000
"NC_036838.1",33090000,0.238655,0.122018,0,0.238655,"chr036838.1",33040001,33140000
"NC_036838.1",33100000,0.281294,0.128968,0,0.281294,"chr036838.1",33050001,33150000
"NC_036838.1",35170000,0,0.205929,0.0611636,0.205929,"chr036838.1",35120001,35220000
"NC_036838.1",35180000,0,0.224652,0.087408,0.224652,"chr036838.1",35130001,35230000
"NC_036838.1",35190000,0,0.306111,0.148223,0.306111,"chr036838.1",35140001,35240000
"NC_036838.1",35200000,0.00357415,0.315925,0.158385,0.315925,"chr036838.1",35150001,35250000
"NC_036838.1",35210000,0.00848572,0.346686,0.196374,0.346686,"chr036838.1",35160001,35260000
"NC_036838.1",35220000,0.000271376,0.251636,0.141989,0.251636,"chr036838.1",35170001,35270000
"NC_036838.1",35230000,0.00508031,0.25998,0.148248,0.25998,"chr036838.1",35180001,35280000
"NC_036838.1",35240000,0.00115089,0.265751,0.167374,0.265751,"chr036838.1",35190001,35290000
"NC_036838.1",35250000,0.00782658,0.263503,0.168613,0.263503,"chr036838.1",35200001,35300000
"NC_036838.1",35260000,0.0078548,0.275684,0.179092,0.275684,"chr036838.1",35210001,35310000
"NC_036838.1",35270000,0.00463396,0.284995,0.176964,0.284995,"chr036838.1",35220001,35320000
"NC_036838.1",35280000,0,0.241111,0.167489,0.241111,"chr036838.1",35230001,35330000
"NC_036838.1",35290000,0,0.221116,0.144075,0.221116,"chr036838.1",35240001,35340000
"NC_036838.1",35300000,0,0.208123,0.141489,0.208123,"chr036838.1",35250001,35350000
"NC_036838.1",35320000,0,0.232089,0.173533,0.232089,"chr036838.1",35270001,35370000
"NC_036838.1",35330000,0,0.24642,0.185807,0.24642,"chr036838.1",35280001,35380000
"NC_036838.1",35340000,0,0.235707,0.143208,0.235707,"chr036838.1",35290001,35390000
"NC_036838.1",35350000,0,0.212251,0.110252,0.212251,"chr036838.1",35300001,35400000
"NC_036838.1",35390000,0.00637262,0.208168,0.0526042,0.208168,"chr036838.1",35340001,35440000
"NC_036838.1",35400000,0.0092221,0.219663,0.058672,0.219663,"chr036838.1",35350001,35450000
"NC_036838.1",35410000,0.0105389,0.233148,0.0574193,0.233148,"chr036838.1",35360001,35460000
"NC_036838.1",35420000,0,0.204876,0.0139692,0.204876,"chr036838.1",35370001,35470000
"NC_036838.1",35550000,0,0.237488,0.00540713,0.237488,"chr036838.1",35500001,35600000
"NC_036838.1",35580000,0,0.25268,0,0.25268,"chr036838.1",35530001,35630000
"NC_036838.1",35600000,0.0176922,0.23041,0,0.23041,"chr036838.1",35550001,35650000
"NC_036838.1",35610000,0.0189853,0.211121,0,0.211121,"chr036838.1",35560001,35660000
"NC_036838.1",36400000,0,0.0834056,0.211303,0.211303,"chr036838.1",36350001,36450000
"NC_036838.1",36410000,0,0.0773694,0.215975,0.215975,"chr036838.1",36360001,36460000
"NC_036838.1",36420000,0,0.0626806,0.205148,0.205148,"chr036838.1",36370001,36470000
"NC_036838.1",36430000,0,0.0650225,0.223587,0.223587,"chr036838.1",36380001,36480000
"NC_036838.1",36440000,0,0.0708961,0.218011,0.218011,"chr036838.1",36390001,36490000
"NC_036838.1",36450000,0,0.0712208,0.200445,0.200445,"chr036838.1",36400001,36500000
"NC_036838.1",36460000,0,0.073993,0.205642,0.205642,"chr036838.1",36410001,36510000
"NC_036838.1",36470000,0,0.094028,0.201109,0.201109,"chr036838.1",36420001,36520000
"NC_036838.1",37660000,0,0.247123,0,0.247123,"chr036838.1",37610001,37710000
"NC_036838.1",37670000,0,0.247795,0,0.247795,"chr036838.1",37620001,37720000
"NC_036838.1",37680000,0,0.25872,0,0.25872,"chr036838.1",37630001,37730000
"NC_036838.1",37690000,0,0.270397,0,0.270397,"chr036838.1",37640001,37740000
"NC_036838.1",37700000,0,0.290753,0,0.290753,"chr036838.1",37650001,37750000
"NC_036838.1",37710000,0,0.272808,0,0.272808,"chr036838.1",37660001,37760000
"NC_036838.1",37720000,0,0.279452,0,0.279452,"chr036838.1",37670001,37770000
"NC_036838.1",37730000,0,0.258812,0,0.258812,"chr036838.1",37680001,37780000
"NC_036838.1",37740000,0,0.25004,0,0.25004,"chr036838.1",37690001,37790000
"NC_036838.1",37750000,0,0.235507,0,0.235507,"chr036838.1",37700001,37800000
"NC_036838.1",39380000,0.0297697,0.201811,0.0496488,0.201811,"chr036838.1",39330001,39430000
"NC_036838.1",40400000,0.219292,0.0120027,0,0.219292,"chr036838.1",40350001,40450000
"NC_036838.1",40410000,0.29556,0.00559673,0,0.29556,"chr036838.1",40360001,40460000
"NC_036838.1",40420000,0.314064,0.00104397,0,0.314064,"chr036838.1",40370001,40470000
"NC_036838.1",40430000,0.332151,0,0,0.332151,"chr036838.1",40380001,40480000
"NC_036838.1",40440000,0.307405,0,0,0.307405,"chr036838.1",40390001,40490000
"NC_036838.1",40450000,0.350418,0,0,0.350418,"chr036838.1",40400001,40500000
"NC_036838.1",40460000,0.408075,0,0.00760608,0.408075,"chr036838.1",40410001,40510000
"NC_036838.1",40470000,0.371884,0,0.0319406,0.371884,"chr036838.1",40420001,40520000
"NC_036838.1",40480000,0.354685,0,0.0183747,0.354685,"chr036838.1",40430001,40530000
"NC_036838.1",40490000,0.371114,0,0.0164598,0.371114,"chr036838.1",40440001,40540000
"NC_036838.1",40500000,0.377878,0,0.0112344,0.377878,"chr036838.1",40450001,40550000
"NC_036838.1",40510000,0.375906,0,0.031734,0.375906,"chr036838.1",40460001,40560000
"NC_036838.1",40520000,0.390114,0,0.0410465,0.390114,"chr036838.1",40470001,40570000
"NC_036838.1",40530000,0.368453,0,0.0534521,0.368453,"chr036838.1",40480001,40580000
"NC_036838.1",40540000,0.368681,0,0.0535823,0.368681,"chr036838.1",40490001,40590000
"NC_036838.1",40550000,0.343149,0,0.0584628,0.343149,"chr036838.1",40500001,40600000
"NC_036838.1",40560000,0.267674,0.000118819,0.0561543,0.267674,"chr036838.1",40510001,40610000
