"CHROM","POS","fst_LB","fst_SB","fst_PL","highest"
"NC_036838.1",1540000,0.00852967,0.0326361,0.00101084,0.0326361
"NC_036838.1",1550000,0.00914302,0.0250179,0,0.0250179
"NC_036838.1",1560000,0.00783839,0.0228326,0,0.0228326
"NC_036838.1",1570000,0.00737909,0.0131594,0,0.0131594
"NC_036838.1",1580000,0.00694911,0.0104395,0,0.0104395
"NC_036838.1",1590000,0.00923951,0.00709748,0,0.00923951
"NC_036838.1",1600000,0.00667252,0.00600635,0,0.00667252
"NC_036838.1",1610000,0.00876651,0.0117012,0,0.0117012
"NC_036838.1",1620000,0.00957694,0.00799079,0,0.00957694
"NC_036838.1",1630000,0.0116484,0.00592032,0,0.0116484
"NC_036838.1",1640000,0,0,0,0
"NC_036838.1",1650000,0,0,0,0
"NC_036838.1",1660000,0,0,0,0
"NC_036838.1",1670000,0,0,0,0
"NC_036838.1",1680000,0,0,0,0
"NC_036838.1",1690000,0,0,0,0
"NC_036838.1",1700000,0,0,0,0
"NC_036838.1",1710000,0.00127494,0,0,0.00127494
"NC_036838.1",1720000,0.00319673,0,0,0.00319673
"NC_036838.1",1730000,0.00422395,0,0,0.00422395
"NC_036838.1",1740000,0.010144,0,0,0.010144
"NC_036838.1",1750000,0.0116239,0,0,0.0116239
"NC_036838.1",1760000,0.0145148,0,0,0.0145148
"NC_036838.1",1770000,0.0114942,0.000243229,0,0.0114942
"NC_036838.1",1780000,0.0079352,0.000905002,0,0.0079352
"NC_036838.1",1790000,0,0.00109063,0,0.00109063
"NC_036838.1",1800000,0,0.00469968,0,0.00469968
"NC_036838.1",1810000,0,0.0094265,0,0.0094265
"NC_036838.1",1820000,0,0.012434,0,0.012434
"NC_036838.1",1830000,0,0.0130248,0,0.0130248
"NC_036838.1",1840000,0,0.0182513,0,0.0182513
"NC_036838.1",1850000,0,0.0143605,0,0.0143605
"NC_036838.1",1860000,0,0.0133748,0,0.0133748
"NC_036838.1",1870000,0,0.0102226,0,0.0102226
"NC_036838.1",1880000,0,0.0107723,0,0.0107723
"NC_036838.1",1890000,0,0.0129259,0,0.0129259
"NC_036838.1",1900000,0,0.0197796,0,0.0197796
"NC_036838.1",1910000,0,0.00554752,0,0.00554752
"NC_036838.1",1920000,0,0,0,0
"NC_036838.1",1930000,0,0.00381396,0,0.00381396
"NC_036838.1",1940000,0,0.00537968,0.00154887,0.00537968
"NC_036838.1",1950000,0.00068901,0.0011472,0.00527313,0.00527313
"NC_036838.1",1960000,0.000871702,0,0,0.000871702
"NC_036838.1",1970000,0.00104639,0,0,0.00104639
"NC_036838.1",1980000,0.0146904,0,0,0.0146904
"NC_036838.1",1990000,0.0268801,0,0,0.0268801
"NC_036838.1",2e+06,0.0182857,0,0,0.0182857
"NC_036838.1",2010000,0.0217449,0,0,0.0217449
"NC_036838.1",2020000,0.0373135,0,0,0.0373135
"NC_036838.1",2030000,0.0263114,0,0,0.0263114
"NC_036838.1",2040000,0.0184465,0,0,0.0184465
"NC_036838.1",2050000,0.0209135,0,0,0.0209135
"NC_036838.1",2060000,0.0169764,0,0,0.0169764
"NC_036838.1",2070000,0.0144912,0,0,0.0144912
"NC_036838.1",2080000,0.00621734,0,0,0.00621734
"NC_036838.1",2090000,0.00519605,0,0,0.00519605
"NC_036838.1",2100000,0.00524886,0,0,0.00524886
"NC_036838.1",2110000,0.00398562,0,0,0.00398562
"NC_036838.1",2120000,0.00222948,0,0,0.00222948
"NC_036838.1",2130000,0.00066242,0,0.00128335,0.00128335
"NC_036838.1",2140000,0,0,0.000972339,0.000972339
"NC_036838.1",2150000,0,0,0.00184961,0.00184961
"NC_036838.1",2160000,0,0,0.00373951,0.00373951
"NC_036838.1",2170000,0,0,0.00508043,0.00508043
"NC_036838.1",2180000,0.0059697,0,0.0104629,0.0104629
"NC_036838.1",2190000,0.00641068,0.00190747,0.0121552,0.0121552
"NC_036838.1",2200000,0.00664512,0,0.0134692,0.0134692
"NC_036838.1",2210000,0.00510454,0,0.0118906,0.0118906
"NC_036838.1",2220000,0,0,0.0121993,0.0121993
"NC_036838.1",2230000,0.00763718,0.000285898,0,0.00763718
"NC_036838.1",2240000,0.0275199,0,0.00378715,0.0275199
"NC_036838.1",2250000,0.0187837,0,0.00709005,0.0187837
"NC_036838.1",2260000,0.0434181,0,0,0.0434181
"NC_036838.1",2270000,0.0513636,0,0,0.0513636
"NC_036838.1",2280000,0.0327634,0,0,0.0327634
"NC_036838.1",2290000,0.021938,0,0,0.021938
"NC_036838.1",2300000,0.0162496,0,0,0.0162496
"NC_036838.1",2310000,0.0142787,0,0,0.0142787
"NC_036838.1",2320000,0.0166682,0,0,0.0166682
"NC_036838.1",2330000,0.0209469,0,0,0.0209469
"NC_036838.1",2340000,0.018666,0,0,0.018666
"NC_036838.1",2350000,0.020313,0,0,0.020313
"NC_036838.1",2360000,0.00344706,0,0.00538717,0.00538717
"NC_036838.1",2370000,0.00314698,0,0.00261453,0.00314698
"NC_036838.1",2380000,0.00117297,0.000967043,0.000605166,0.00117297
"NC_036838.1",2390000,0.0028362,0.00266665,0.00158294,0.0028362
"NC_036838.1",2400000,0,0.0266456,0,0.0266456
"NC_036838.1",2410000,0.001197,0.0062349,0,0.0062349
"NC_036838.1",2420000,0,0.00426657,0,0.00426657
"NC_036838.1",2430000,0.00153171,0.00127056,0,0.00153171
"NC_036838.1",2440000,0.00123663,0.00111003,0,0.00123663
"NC_036838.1",2450000,0.00150396,0.00117113,0.000761371,0.00150396
"NC_036838.1",2460000,0.000942053,0.000870781,0,0.000942053
"NC_036838.1",2470000,0,0.000180486,0.00151451,0.00151451
"NC_036838.1",2480000,0,0,0.00143769,0.00143769
"NC_036838.1",2490000,0,0.00103876,0.00086165,0.00103876
"NC_036838.1",2500000,3.65568e-05,0.00144426,0.000883049,0.00144426
"NC_036838.1",2510000,0,0.00442729,0.00396379,0.00442729
"NC_036838.1",2520000,0,0.0081744,0.00474225,0.0081744
"NC_036838.1",2530000,0,0.0161533,0.00878319,0.0161533
"NC_036838.1",2540000,0,0.0186074,0.00796754,0.0186074
"NC_036838.1",2550000,0,0.0230769,0.00766235,0.0230769
"NC_036838.1",2560000,0,0.0261346,0.0104845,0.0261346
"NC_036838.1",2570000,0,0.064995,0,0.064995
"NC_036838.1",2580000,0,0.0811803,0.000530684,0.0811803
"NC_036838.1",2590000,0.0131478,0.0827686,0.0159266,0.0827686
"NC_036838.1",2600000,0.0149182,0.0810195,0.0167026,0.0810195
"NC_036838.1",2610000,0.0127338,0.0655397,0,0.0655397
"NC_036838.1",2620000,0.027769,0.0401478,0,0.0401478
"NC_036838.1",2630000,0.0244378,0.0187681,0,0.0244378
"NC_036838.1",2640000,0.0304013,0.0144306,0,0.0304013
"NC_036838.1",2650000,0.0285754,0.00829161,0,0.0285754
"NC_036838.1",2660000,0.0269838,0.00546133,0,0.0269838
"NC_036838.1",2670000,0.0250848,0.0137213,0,0.0250848
"NC_036838.1",2680000,0.0201138,0.00243422,0,0.0201138
"NC_036838.1",2690000,0.0131101,0.00214882,0,0.0131101
"NC_036838.1",2700000,0.0107967,0,0,0.0107967
"NC_036838.1",2710000,0.0122371,0,0,0.0122371
"NC_036838.1",2720000,0.00741979,0,0,0.00741979
"NC_036838.1",2730000,0.00783306,0,0,0.00783306
"NC_036838.1",2740000,0.00663151,0.00242601,0.00208353,0.00663151
"NC_036838.1",2750000,0.0035356,0.00242582,0.00320498,0.0035356
"NC_036838.1",2760000,0.00235108,0.00240016,0.00323015,0.00323015
"NC_036838.1",2770000,0.000744852,0,0.00519116,0.00519116
"NC_036838.1",2780000,0,0.0052988,0,0.0052988
"NC_036838.1",2790000,0.00251026,0.00462245,0,0.00462245
"NC_036838.1",2800000,0.0108896,0.00472746,0,0.0108896
"NC_036838.1",2810000,0,0.018622,0,0.018622
"NC_036838.1",2820000,0,0.0163951,0,0.0163951
"NC_036838.1",2830000,0,0.00545739,0,0.00545739
"NC_036838.1",2840000,0,0,0,0
"NC_036838.1",2850000,0,0,0,0
"NC_036838.1",2860000,0,0,0,0
"NC_036838.1",2870000,0,0,0,0
"NC_036838.1",2880000,0,0,0,0
"NC_036838.1",2890000,0,0,0,0
"NC_036838.1",2900000,0,0,0,0
"NC_036838.1",2910000,0,0,0,0
"NC_036838.1",2920000,0,0,0,0
"NC_036838.1",2930000,0,0,0,0
"NC_036838.1",2940000,0,0,0.0125523,0.0125523
"NC_036838.1",2950000,0,0,0.0151844,0.0151844
"NC_036838.1",2960000,0,0,0.0124164,0.0124164
"NC_036838.1",2970000,0,0,0.00511222,0.00511222
"NC_036838.1",2980000,0,0,0.0135803,0.0135803
"NC_036838.1",2990000,0,0,0.0140863,0.0140863
"NC_036838.1",3e+06,0,0,0.0241438,0.0241438
"NC_036838.1",3010000,0,0,0.0254972,0.0254972
"NC_036838.1",3020000,0,0,0.0247305,0.0247305
"NC_036838.1",3030000,0,0,0.0221474,0.0221474
"NC_036838.1",3040000,0.000357311,0,0.0170495,0.0170495
"NC_036838.1",3050000,0,0,0.0145325,0.0145325
"NC_036838.1",3060000,0,0,0.0165995,0.0165995
"NC_036838.1",3070000,0,0,0.0201726,0.0201726
"NC_036838.1",3080000,0,0,0.017984,0.017984
"NC_036838.1",3090000,0,0,0.0212297,0.0212297
"NC_036838.1",3100000,0,0.00111128,0.00747887,0.00747887
"NC_036838.1",3110000,0,0,0.0044778,0.0044778
"NC_036838.1",3120000,0,0.00292908,0,0.00292908
"NC_036838.1",3130000,0,0.00282985,0,0.00282985
"NC_036838.1",3140000,0,0.00425481,0,0.00425481
"NC_036838.1",3150000,0,0.00586463,0,0.00586463
"NC_036838.1",3160000,0,0.00352952,0,0.00352952
"NC_036838.1",3170000,0.00350636,0.00227088,0,0.00350636
"NC_036838.1",3180000,0.000729916,0,0,0.000729916
"NC_036838.1",3190000,0,0,0,0
"NC_036838.1",3200000,0.000906994,0,0,0.000906994
"NC_036838.1",3210000,0,0,0,0
"NC_036838.1",3220000,0,0,0,0
"NC_036838.1",3230000,0,0,0,0
"NC_036838.1",3240000,0,0,0,0
"NC_036838.1",3250000,0,0,0,0
"NC_036838.1",3260000,0,0,0,0
"NC_036838.1",3270000,0,0,0,0
"NC_036838.1",3280000,0,0,0,0
"NC_036838.1",3290000,0,0,0,0
"NC_036838.1",3300000,0,0,0,0
"NC_036838.1",3310000,0,0,0,0
"NC_036838.1",3320000,0.00239248,0,0,0.00239248
"NC_036838.1",3330000,0.00400317,0,0,0.00400317
"NC_036838.1",3340000,0.00887417,0,0,0.00887417
"NC_036838.1",3350000,0.00965921,0,0.000684533,0.00965921
"NC_036838.1",3360000,0.00764474,0,0.0017231,0.00764474
"NC_036838.1",3370000,0.00434576,0,0.00285545,0.00434576
"NC_036838.1",3380000,0.00599298,0,0.00519563,0.00599298
"NC_036838.1",3390000,0.00792386,0,0.00167324,0.00792386
"NC_036838.1",3400000,0.00745058,0,0.00142266,0.00745058
"NC_036838.1",3410000,0.0105796,0,0,0.0105796
"NC_036838.1",3420000,0.00378354,0,0.00301195,0.00378354
"NC_036838.1",3430000,0.00286889,0,0.00197933,0.00286889
"NC_036838.1",3440000,0,0.000106418,0.00199531,0.00199531
"NC_036838.1",3450000,0,0.00296566,0.00015432,0.00296566
"NC_036838.1",3460000,0,0.000613301,0.000270835,0.000613301
"NC_036838.1",3470000,0,0,0,0
"NC_036838.1",3480000,0,0,0,0
"NC_036838.1",3490000,0,0,0,0
"NC_036838.1",3500000,0.00557762,0,0,0.00557762
"NC_036838.1",3510000,0.0045141,0,0,0.0045141
"NC_036838.1",3520000,0.00851351,0,0,0.00851351
"NC_036838.1",3530000,0.0105992,0,0.000824323,0.0105992
"NC_036838.1",3540000,0.0140933,0,0.000836835,0.0140933
"NC_036838.1",3550000,0.0158156,0,0.000943873,0.0158156
"NC_036838.1",3560000,0.0202174,0,0,0.0202174
"NC_036838.1",3570000,0.0181121,0,0.00117382,0.0181121
"NC_036838.1",3580000,0.0213751,0,0.000457196,0.0213751
"NC_036838.1",3590000,0.0190293,0,0.000601366,0.0190293
"NC_036838.1",3600000,0.019041,0,0.00381848,0.019041
"NC_036838.1",3610000,0.0314963,0,0.011699,0.0314963
"NC_036838.1",3620000,0.0209285,0,0.0191514,0.0209285
"NC_036838.1",3630000,0.0159641,0,0.0236874,0.0236874
"NC_036838.1",3640000,0,0,0.0316093,0.0316093
"NC_036838.1",3650000,0,0,0.0359131,0.0359131
"NC_036838.1",3660000,0,0.00148687,0.0386097,0.0386097
"NC_036838.1",3670000,0,0.00415119,0.0418919,0.0418919
"NC_036838.1",3680000,0,0.00529983,0.0489394,0.0489394
"NC_036838.1",3690000,0,0.0124998,0.0758276,0.0758276
"NC_036838.1",3700000,0,0.0124954,0.0565703,0.0565703
"NC_036838.1",3710000,0,0.00980917,0.0686787,0.0686787
"NC_036838.1",3720000,0,0.00815859,0.057681,0.057681
"NC_036838.1",3730000,0,0.00745488,0.0554412,0.0554412
"NC_036838.1",3740000,0.00050666,0,0.0675627,0.0675627
"NC_036838.1",3750000,0,0,0.0501583,0.0501583
"NC_036838.1",3760000,0,0,0.0445916,0.0445916
"NC_036838.1",3770000,0,0,0.0421853,0.0421853
"NC_036838.1",3780000,0,0,0.0274342,0.0274342
"NC_036838.1",3790000,0,0,0.00802903,0.00802903
"NC_036838.1",3800000,0,0,0.00629164,0.00629164
"NC_036838.1",3810000,0,0.00337508,0.0026181,0.00337508
"NC_036838.1",3820000,0.00260576,0,0.00863905,0.00863905
"NC_036838.1",3830000,0.0019776,0.00437629,0.000481501,0.00437629
"NC_036838.1",3840000,0,0.00779621,0,0.00779621
"NC_036838.1",3850000,0,0.00694586,0,0.00694586
"NC_036838.1",3860000,0.00797796,0.00107353,0,0.00797796
"NC_036838.1",3870000,0.00854331,0,0,0.00854331
"NC_036838.1",3880000,0.0087261,0.000795953,0,0.0087261
"NC_036838.1",3890000,0.0136333,0.00523321,0,0.0136333
"NC_036838.1",3900000,0.01776,0.00286051,0,0.01776
"NC_036838.1",3910000,0.0125046,0,0,0.0125046
"NC_036838.1",3920000,0.00443784,0,0,0.00443784
"NC_036838.1",3930000,0.0045035,0,0,0.0045035
"NC_036838.1",3940000,0.00279219,0,0,0.00279219
"NC_036838.1",3950000,0.00124694,0.00200197,0,0.00200197
"NC_036838.1",3960000,0,0.00280095,0,0.00280095
"NC_036838.1",3970000,0,0.00183468,0,0.00183468
"NC_036838.1",3980000,0.000109175,0.00271911,0,0.00271911
"NC_036838.1",3990000,0.00220058,0,0,0.00220058
"NC_036838.1",4e+06,0.00629697,0.00690428,0,0.00690428
"NC_036838.1",4010000,0.0161947,0.0156938,0,0.0161947
"NC_036838.1",4020000,0.0215904,0.0222618,0,0.0222618
"NC_036838.1",4030000,0.018129,0.0170332,0.0124056,0.018129
"NC_036838.1",4040000,0.0216689,0.0204323,0.0449515,0.0449515
"NC_036838.1",4050000,0.0351631,0.00619702,0.0928892,0.0928892
"NC_036838.1",4060000,0.0297453,0,0.0867159,0.0867159
"NC_036838.1",4070000,0.016385,0,0.131959,0.131959
"NC_036838.1",4080000,0.00412096,0,0.191426,0.191426
"NC_036838.1",4090000,0,0,0.203761,0.203761
"NC_036838.1",4100000,0,0,0.231148,0.231148
"NC_036838.1",4110000,0,0,0.276159,0.276159
"NC_036838.1",4120000,0,0,0.278893,0.278893
"NC_036838.1",4130000,0,0,0.229822,0.229822
"NC_036838.1",4140000,0.00670139,0,0.180577,0.180577
"NC_036838.1",4150000,0.0104279,0,0.166651,0.166651
"NC_036838.1",4160000,0.0118319,0,0.173909,0.173909
"NC_036838.1",4170000,0.0254228,0,0.117104,0.117104
"NC_036838.1",4180000,0.0302838,0,0.0178408,0.0302838
"NC_036838.1",4190000,0.0414736,0.0324006,0,0.0414736
"NC_036838.1",4200000,0.0429104,0.0239582,0,0.0429104
"NC_036838.1",4210000,0.0521424,0.025334,0,0.0521424
"NC_036838.1",4220000,0.0409428,0.0200887,0,0.0409428
"NC_036838.1",4230000,0.0314229,0.0210308,0,0.0314229
"NC_036838.1",4240000,0.0162944,0.0386347,0,0.0386347
"NC_036838.1",4250000,0.0151727,0.0398792,0,0.0398792
"NC_036838.1",4260000,0.0131346,0.0231237,0,0.0231237
"NC_036838.1",4270000,0.00898164,0.0159526,0,0.0159526
"NC_036838.1",4280000,0.0124802,0.0216641,0,0.0216641
"NC_036838.1",4290000,0.00403481,0,0,0.00403481
"NC_036838.1",4300000,0.0012587,0,0,0.0012587
"NC_036838.1",4310000,0.000219899,0,0,0.000219899
"NC_036838.1",4320000,0.00583155,0.00491745,0.000394633,0.00583155
"NC_036838.1",4330000,0.000183259,0.00291396,0.00282132,0.00291396
"NC_036838.1",4340000,0,0,0.00202584,0.00202584
"NC_036838.1",4350000,0,0,0,0
"NC_036838.1",4360000,0,0,0,0
"NC_036838.1",4370000,0.00625981,0,0.00352956,0.00625981
"NC_036838.1",4380000,0.00613097,0,0.00693411,0.00693411
"NC_036838.1",4390000,0.0275554,0.0179432,0.00247679,0.0275554
"NC_036838.1",4400000,0.0293609,0.0341023,0,0.0341023
"NC_036838.1",4410000,0.0140789,0.0289633,0.00858742,0.0289633
"NC_036838.1",4420000,0.00956594,0.0101136,0.0133126,0.0133126
"NC_036838.1",4430000,0.0104819,0.0136676,0.0126169,0.0136676
"NC_036838.1",4440000,0.0102227,0.0140822,0.0125278,0.0140822
"NC_036838.1",4450000,0.0111059,0.0123049,0.00555101,0.0123049
"NC_036838.1",4460000,0.0140573,0.00969357,0,0.0140573
"NC_036838.1",4470000,0.00164668,0.0168856,0,0.0168856
"NC_036838.1",4480000,0,0.00713012,0,0.00713012
"NC_036838.1",4490000,0,0.00609813,0,0.00609813
"NC_036838.1",4500000,5.90773e-05,0,0,5.90773e-05
"NC_036838.1",4510000,0.000631824,0.00162152,0,0.00162152
"NC_036838.1",4520000,0,0.0091776,0,0.0091776
"NC_036838.1",4530000,0,0,0,0
"NC_036838.1",4540000,0,0,0,0
"NC_036838.1",4550000,0,0,0,0
"NC_036838.1",4560000,0,0.00682533,0,0.00682533
"NC_036838.1",4570000,0,0.00835909,0.00115164,0.00835909
"NC_036838.1",4580000,0,0.0117755,0.00541544,0.0117755
"NC_036838.1",4590000,0,0.00681408,0.0170709,0.0170709
"NC_036838.1",4600000,0,0.0128452,0.0204314,0.0204314
"NC_036838.1",4610000,0,0.00564588,0.0263449,0.0263449
"NC_036838.1",4620000,0,0.002841,0.0334957,0.0334957
"NC_036838.1",4630000,0.00499785,0.0066201,0.0152165,0.0152165
"NC_036838.1",4640000,0.0287325,0.00195592,0.012902,0.0287325
"NC_036838.1",4650000,0.00787449,0,0.00306943,0.00787449
"NC_036838.1",4660000,0.013029,0,0.0242773,0.0242773
"NC_036838.1",4670000,0.00529733,0,0,0.00529733
"NC_036838.1",4680000,0,0,0,0
"NC_036838.1",4690000,0,0,0,0
"NC_036838.1",4700000,0,0,0.00160175,0.00160175
"NC_036838.1",4710000,0,0,0.00812163,0.00812163
"NC_036838.1",4720000,0.0949803,0,0.131405,0.131405
"NC_036838.1",4730000,0.258103,0.00280853,0.32056,0.32056
