"Name","NCBI","Length","CumLen","LG","LGlength"
"LG32","NC_036871.1",38480802,1348133948,"LG32",38480802
"LG33","NC_036872.1",38084510,1386614750,"LG33",38084510
"LG34","NC_036873.1",8958605,1424699260,"LG34",8958605
"LG35","NC_036874.1",21595701,1433657865,"LG35",21595701
"LG36","NC_036875.1",41232801,1455253566,"LG36",41232801
"LG37","NC_036876.1",19546989,1496486367,"LG37",19546989
"unplaced","NW_019942503.1",66434,1516033356,"LG40",653519791
"unplaced","NW_019942504.1",204149,1516099790,"LG40",653519791
"unplaced","NW_019942505.1",1455111,1516303939,"LG40",653519791
"unplaced","NW_019942506.1",60681,1517759050,"LG40",653519791
"unplaced","NW_019942507.1",682607,1517819731,"LG40",653519791
"unplaced","NW_019942508.1",39052,1518502338,"LG40",653519791
"unplaced","NW_019942509.1",69915,1518541390,"LG40",653519791
"unplaced","NW_019942510.1",42056,1518611305,"LG40",653519791
"unplaced","NW_019942511.1",131705,1518653361,"LG40",653519791
"unplaced","NW_019942512.1",62204,1518785066,"LG40",653519791
"unplaced","NW_019942513.1",30209,1518847270,"LG40",653519791
"unplaced","NW_019942514.1",5351880,1518877479,"LG40",653519791
"unplaced","NW_019942515.1",1185146,1524229359,"LG40",653519791
"unplaced","NW_019942516.1",33158,1525414505,"LG40",653519791
"unplaced","NW_019942517.1",25519,1525447663,"LG40",653519791
"unplaced","NW_019942518.1",103819,1525473182,"LG40",653519791
"unplaced","NW_019942519.1",335031,1525577001,"LG40",653519791
"unplaced","NW_019942520.1",272201,1525912032,"LG40",653519791
"unplaced","NW_019942521.1",22498,1526184233,"LG40",653519791
"unplaced","NW_019942522.1",20458,1526206731,"LG40",653519791
"unplaced","NW_019942523.1",36416,1526227189,"LG40",653519791
"unplaced","NW_019942524.1",18323,1526263605,"LG40",653519791
"unplaced","NW_019942525.1",493549,1526281928,"LG40",653519791
"unplaced","NW_019942526.1",323570,1526775477,"LG40",653519791
"unplaced","NW_019942527.1",137483,1527099047,"LG40",653519791
"unplaced","NW_019942528.1",1641764,1527236530,"LG40",653519791
"unplaced","NW_019942529.1",65939,1528878294,"LG40",653519791
"unplaced","NW_019942530.1",27371,1528944233,"LG40",653519791
"unplaced","NW_019942531.1",571969,1528971604,"LG40",653519791
"unplaced","NW_019942532.1",19052,1529543573,"LG40",653519791
"unplaced","NW_019942533.1",29210,1529562625,"LG40",653519791
"unplaced","NW_019942534.1",33478,1529591835,"LG40",653519791
"unplaced","NW_019942535.1",21722,1529625313,"LG40",653519791
"unplaced","NW_019942536.1",54339,1529647035,"LG40",653519791
"unplaced","NW_019942537.1",40361,1529701374,"LG40",653519791
"unplaced","NW_019942538.1",694229,1529741735,"LG40",653519791
"unplaced","NW_019942539.1",26026,1530435964,"LG40",653519791
"unplaced","NW_019942540.1",19696,1530461990,"LG40",653519791
"unplaced","NW_019942541.1",19618,1530481686,"LG40",653519791
"unplaced","NW_019942542.1",142629,1530501304,"LG40",653519791
"unplaced","NW_019942543.1",261967,1530643933,"LG40",653519791
"unplaced","NW_019942544.1",220252,1530905900,"LG40",653519791
"unplaced","NW_019942545.1",670431,1531126152,"LG40",653519791
"unplaced","NW_019942546.1",85895,1531796583,"LG40",653519791
"unplaced","NW_019942547.1",708460,1531882478,"LG40",653519791
"unplaced","NW_019942548.1",460989,1532590938,"LG40",653519791
"unplaced","NW_019942549.1",16533,1533051927,"LG40",653519791
"unplaced","NW_019942550.1",22818,1533068460,"LG40",653519791
"unplaced","NW_019942551.1",526237,1533091278,"LG40",653519791
"unplaced","NW_019942552.1",1118818,1533617515,"LG40",653519791
"unplaced","NW_019942553.1",350281,1534736333,"LG40",653519791
"unplaced","NW_019942554.1",59014,1535086614,"LG40",653519791
"unplaced","NW_019942555.1",606910,1535145628,"LG40",653519791
"unplaced","NW_019942556.1",16721,1535752538,"LG40",653519791
"unplaced","NW_019942557.1",983282,1535769259,"LG40",653519791
"unplaced","NW_019942558.1",972334,1536752541,"LG40",653519791
"unplaced","NW_019942559.1",31338,1537724875,"LG40",653519791
"unplaced","NW_019942560.1",9441,1537756213,"LG40",653519791
"unplaced","NW_019942561.1",75688,1537765654,"LG40",653519791
"unplaced","NW_019942562.1",913924,1537841342,"LG40",653519791
"unplaced","NW_019942563.1",33288,1538755266,"LG40",653519791
"unplaced","NW_019942564.1",19567,1538788554,"LG40",653519791
"unplaced","NW_019942565.1",312567,1538808121,"LG40",653519791
"unplaced","NW_019942566.1",873029,1539120688,"LG40",653519791
"unplaced","NW_019942567.1",1176776,1539993717,"LG40",653519791
"unplaced","NW_019942568.1",249306,1541170493,"LG40",653519791
"unplaced","NW_019942569.1",1029467,1541419799,"LG40",653519791
"unplaced","NW_019942570.1",139959,1542449266,"LG40",653519791
"unplaced","NW_019942571.1",127157,1542589225,"LG40",653519791
"unplaced","NW_019942572.1",831600,1542716382,"LG40",653519791
"unplaced","NW_019942573.1",929468,1543547982,"LG40",653519791
"unplaced","NW_019942574.1",348429,1544477450,"LG40",653519791
"unplaced","NW_019942575.1",830459,1544825879,"LG40",653519791
"unplaced","NW_019942576.1",807229,1545656338,"LG40",653519791
"unplaced","NW_019942577.1",37762,1546463567,"LG40",653519791
"unplaced","NW_019942578.1",84640,1546501329,"LG40",653519791
"unplaced","NW_019942579.1",234966,1546585969,"LG40",653519791
"unplaced","NW_019942580.1",788101,1546820935,"LG40",653519791
"unplaced","NW_019942581.1",285335,1547609036,"LG40",653519791
"unplaced","NW_019942582.1",116212,1547894371,"LG40",653519791
"unplaced","NW_019942583.1",746497,1548010583,"LG40",653519791
"unplaced","NW_019942584.1",745109,1548757080,"LG40",653519791
"unplaced","NW_019942585.1",722731,1549502189,"LG40",653519791
"unplaced","NW_019942586.1",211553,1550224920,"LG40",653519791
"unplaced","NW_019942587.1",850656,1550436473,"LG40",653519791
"unplaced","NW_019942588.1",709703,1551287129,"LG40",653519791
"unplaced","NW_019942589.1",721258,1551996832,"LG40",653519791
"unplaced","NW_019942590.1",148867,1552718090,"LG40",653519791
"unplaced","NW_019942591.1",772162,1552866957,"LG40",653519791
"unplaced","NW_019942592.1",714731,1553639119,"LG40",653519791
"unplaced","NW_019942593.1",66570,1554353850,"LG40",653519791
"unplaced","NW_019942594.1",76931,1554420420,"LG40",653519791
"unplaced","NW_019942595.1",163797,1554497351,"LG40",653519791
"unplaced","NW_019942596.1",304124,1554661148,"LG40",653519791
"unplaced","NW_019942597.1",271451,1554965272,"LG40",653519791
"unplaced","NW_019942598.1",79657,1555236723,"LG40",653519791
"unplaced","NW_019942599.1",632360,1555316380,"LG40",653519791
"unplaced","NW_019942600.1",422240,1555948740,"LG40",653519791
"unplaced","NW_019942601.1",1199230,1556370980,"LG40",653519791
"unplaced","NW_019942602.1",357472,1557570210,"LG40",653519791
"unplaced","NW_019942603.1",56601,1557927682,"LG40",653519791
"unplaced","NW_019942604.1",563619,1557984283,"LG40",653519791
"unplaced","NW_019942605.1",44802,1558547902,"LG40",653519791
"unplaced","NW_019942606.1",565178,1558592704,"LG40",653519791
"unplaced","NW_019942607.1",616493,1559157882,"LG40",653519791
"unplaced","NW_019942608.1",419396,1559774375,"LG40",653519791
"unplaced","NW_019942609.1",467844,1560193771,"LG40",653519791
"unplaced","NW_019942610.1",622965,1560661615,"LG40",653519791
"unplaced","NW_019942611.1",145925,1561284580,"LG40",653519791
"unplaced","NW_019942612.1",555307,1561430505,"LG40",653519791
"unplaced","NW_019942613.1",39920,1561985812,"LG40",653519791
"unplaced","NW_019942614.1",697050,1562025732,"LG40",653519791
"unplaced","NW_019942615.1",15525,1562722782,"LG40",653519791
"unplaced","NW_019942616.1",555224,1562738307,"LG40",653519791
"unplaced","NW_019942617.1",1123834,1563293531,"LG40",653519791
"unplaced","NW_019942618.1",58087,1564417365,"LG40",653519791
"unplaced","NW_019942619.1",539463,1564475452,"LG40",653519791
"unplaced","NW_019942620.1",41246,1565014915,"LG40",653519791
"unplaced","NW_019942621.1",236080,1565056161,"LG40",653519791
"unplaced","NW_019942622.1",521194,1565292241,"LG40",653519791
"unplaced","NW_019942623.1",514439,1565813435,"LG40",653519791
"unplaced","NW_019942624.1",6812,1566327874,"LG40",653519791
"unplaced","NW_019942625.1",500398,1566334686,"LG40",653519791
"unplaced","NW_019942626.1",21402,1566835084,"LG40",653519791
"unplaced","NW_019942627.1",750260,1566856486,"LG40",653519791
"unplaced","NW_019942628.1",490292,1567606746,"LG40",653519791
"unplaced","NW_019942629.1",14175,1568097038,"LG40",653519791
"unplaced","NW_019942630.1",485124,1568111213,"LG40",653519791
"unplaced","NW_019942631.1",494320,1568596337,"LG40",653519791
"unplaced","NW_019942632.1",484397,1569090657,"LG40",653519791
"unplaced","NW_019942633.1",483340,1569575054,"LG40",653519791
"unplaced","NW_019942634.1",474800,1570058394,"LG40",653519791
"unplaced","NW_019942635.1",472143,1570533194,"LG40",653519791
"unplaced","NW_019942636.1",62725,1571005337,"LG40",653519791
"unplaced","NW_019942637.1",463426,1571068062,"LG40",653519791
"unplaced","NW_019942638.1",526047,1571531488,"LG40",653519791
"unplaced","NW_019942639.1",452392,1572057535,"LG40",653519791
"unplaced","NW_019942640.1",452110,1572509927,"LG40",653519791
"unplaced","NW_019942641.1",99341,1572962037,"LG40",653519791
"unplaced","NW_019942642.1",451409,1573061378,"LG40",653519791
"unplaced","NW_019942643.1",481588,1573512787,"LG40",653519791
"unplaced","NW_019942644.1",449640,1573994375,"LG40",653519791
"unplaced","NW_019942645.1",501190,1574444015,"LG40",653519791
"unplaced","NW_019942646.1",450253,1574945205,"LG40",653519791
"unplaced","NW_019942647.1",443254,1575395458,"LG40",653519791
"unplaced","NW_019942648.1",447048,1575838712,"LG40",653519791
"unplaced","NW_019942649.1",440073,1576285760,"LG40",653519791
"unplaced","NW_019942650.1",132811,1576725833,"LG40",653519791
"unplaced","NW_019942651.1",16677,1576858644,"LG40",653519791
"unplaced","NW_019942652.1",547674,1576875321,"LG40",653519791
"unplaced","NW_019942653.1",537433,1577422995,"LG40",653519791
"unplaced","NW_019942654.1",435719,1577960428,"LG40",653519791
"unplaced","NW_019942655.1",822375,1578396147,"LG40",653519791
"unplaced","NW_019942656.1",433731,1579218522,"LG40",653519791
"unplaced","NW_019942657.1",238763,1579652253,"LG40",653519791
"unplaced","NW_019942658.1",145378,1579891016,"LG40",653519791
"unplaced","NW_019942659.1",500029,1580036394,"LG40",653519791
"unplaced","NW_019942660.1",494764,1580536423,"LG40",653519791
"unplaced","NW_019942661.1",78222,1581031187,"LG40",653519791
"unplaced","NW_019942662.1",443948,1581109409,"LG40",653519791
"unplaced","NW_019942663.1",644861,1581553357,"LG40",653519791
"unplaced","NW_019942664.1",422558,1582198218,"LG40",653519791
"unplaced","NW_019942665.1",416548,1582620776,"LG40",653519791
"unplaced","NW_019942666.1",435132,1583037324,"LG40",653519791
"unplaced","NW_019942667.1",419098,1583472456,"LG40",653519791
"unplaced","NW_019942668.1",412121,1583891554,"LG40",653519791
"unplaced","NW_019942669.1",406685,1584303675,"LG40",653519791
"unplaced","NW_019942670.1",402924,1584710360,"LG40",653519791
"unplaced","NW_019942671.1",40372,1585113284,"LG40",653519791
"unplaced","NW_019942672.1",429397,1585153656,"LG40",653519791
"unplaced","NW_019942673.1",419934,1585583053,"LG40",653519791
"unplaced","NW_019942674.1",397319,1586002987,"LG40",653519791
"unplaced","NW_019942675.1",443365,1586400306,"LG40",653519791
"unplaced","NW_019942676.1",545350,1586843671,"LG40",653519791
"unplaced","NW_019942677.1",398149,1587389021,"LG40",653519791
"unplaced","NW_019942678.1",393930,1587787170,"LG40",653519791
"unplaced","NW_019942679.1",418896,1588181100,"LG40",653519791
"unplaced","NW_019942680.1",402199,1588599996,"LG40",653519791
"unplaced","NW_019942681.1",10190,1589002195,"LG40",653519791
"unplaced","NW_019942682.1",390244,1589012385,"LG40",653519791
"unplaced","NW_019942683.1",425783,1589402629,"LG40",653519791
"unplaced","NW_019942684.1",387307,1589828412,"LG40",653519791
"unplaced","NW_019942685.1",500166,1590215719,"LG40",653519791
"unplaced","NW_019942686.1",445261,1590715885,"LG40",653519791
"unplaced","NW_019942687.1",399849,1591161146,"LG40",653519791
"unplaced","NW_019942688.1",383089,1591560995,"LG40",653519791
"unplaced","NW_019942689.1",460786,1591944084,"LG40",653519791
"unplaced","NW_019942690.1",381353,1592404870,"LG40",653519791
"unplaced","NW_019942691.1",380071,1592786223,"LG40",653519791
"unplaced","NW_019942692.1",378349,1593166294,"LG40",653519791
"unplaced","NW_019942693.1",378006,1593544643,"LG40",653519791
"unplaced","NW_019942694.1",376893,1593922649,"LG40",653519791
"unplaced","NW_019942695.1",376342,1594299542,"LG40",653519791
"unplaced","NW_019942696.1",375150,1594675884,"LG40",653519791
"unplaced","NW_019942697.1",444269,1595051034,"LG40",653519791
"unplaced","NW_019942698.1",397870,1595495303,"LG40",653519791
"unplaced","NW_019942699.1",381094,1595893173,"LG40",653519791
"unplaced","NW_019942700.1",368982,1596274267,"LG40",653519791
"unplaced","NW_019942701.1",381243,1596643249,"LG40",653519791
"unplaced","NW_019942702.1",384462,1597024492,"LG40",653519791
"unplaced","NW_019942703.1",166865,1597408954,"LG40",653519791
"unplaced","NW_019942704.1",367258,1597575819,"LG40",653519791
"unplaced","NW_019942705.1",366861,1597943077,"LG40",653519791
"unplaced","NW_019942706.1",373415,1598309938,"LG40",653519791
"unplaced","NW_019942707.1",8656,1598683353,"LG40",653519791
"unplaced","NW_019942708.1",747120,1598692009,"LG40",653519791
"unplaced","NW_019942709.1",366147,1599439129,"LG40",653519791
"unplaced","NW_019942710.1",366064,1599805276,"LG40",653519791
"unplaced","NW_019942711.1",374656,1600171340,"LG40",653519791
"unplaced","NW_019942712.1",509928,1600545996,"LG40",653519791
"unplaced","NW_019942713.1",386381,1601055924,"LG40",653519791
"unplaced","NW_019942714.1",363224,1601442305,"LG40",653519791
"unplaced","NW_019942715.1",294025,1601805529,"LG40",653519791
"unplaced","NW_019942716.1",361455,1602099554,"LG40",653519791
"unplaced","NW_019942717.1",373699,1602461009,"LG40",653519791
"unplaced","NW_019942718.1",450898,1602834708,"LG40",653519791
"unplaced","NW_019942719.1",359023,1603285606,"LG40",653519791
"unplaced","NW_019942720.1",358395,1603644629,"LG40",653519791
"unplaced","NW_019942721.1",361986,1604003024,"LG40",653519791
"unplaced","NW_019942722.1",382332,1604365010,"LG40",653519791
"unplaced","NW_019942723.1",356381,1604747342,"LG40",653519791
"unplaced","NW_019942724.1",392247,1605103723,"LG40",653519791
"unplaced","NW_019942725.1",429912,1605495970,"LG40",653519791
"unplaced","NW_019942726.1",351183,1605925882,"LG40",653519791
"unplaced","NW_019942727.1",350486,1606277065,"LG40",653519791
"unplaced","NW_019942728.1",5254,1606627551,"LG40",653519791
"unplaced","NW_019942729.1",463462,1606632805,"LG40",653519791
"unplaced","NW_019942730.1",9516,1607096267,"LG40",653519791
"unplaced","NW_019942731.1",365012,1607105783,"LG40",653519791
"unplaced","NW_019942732.1",596793,1607470795,"LG40",653519791
"unplaced","NW_019942733.1",369015,1608067588,"LG40",653519791
"unplaced","NW_019942734.1",364917,1608436603,"LG40",653519791
"unplaced","NW_019942735.1",342433,1608801520,"LG40",653519791
"unplaced","NW_019942736.1",373852,1609143953,"LG40",653519791
"unplaced","NW_019942737.1",341723,1609517805,"LG40",653519791
"unplaced","NW_019942738.1",343074,1609859528,"LG40",653519791
"unplaced","NW_019942739.1",354546,1610202602,"LG40",653519791
"unplaced","NW_019942740.1",336433,1610557148,"LG40",653519791
"unplaced","NW_019942741.1",341434,1610893581,"LG40",653519791
"unplaced","NW_019942742.1",335729,1611235015,"LG40",653519791
"unplaced","NW_019942743.1",90633,1611570744,"LG40",653519791
"unplaced","NW_019942744.1",512746,1611661377,"LG40",653519791
"unplaced","NW_019942745.1",398227,1612174123,"LG40",653519791
"unplaced","NW_019942746.1",334022,1612572350,"LG40",653519791
"unplaced","NW_019942747.1",709961,1612906372,"LG40",653519791
"unplaced","NW_019942748.1",336301,1613616333,"LG40",653519791
"unplaced","NW_019942749.1",485478,1613952634,"LG40",653519791
"unplaced","NW_019942750.1",331639,1614438112,"LG40",653519791
"unplaced","NW_019942751.1",334700,1614769751,"LG40",653519791
"unplaced","NW_019942752.1",331273,1615104451,"LG40",653519791
"unplaced","NW_019942753.1",343581,1615435724,"LG40",653519791
"unplaced","NW_019942754.1",331172,1615779305,"LG40",653519791
"unplaced","NW_019942755.1",329810,1616110477,"LG40",653519791
"unplaced","NW_019942756.1",334624,1616440287,"LG40",653519791
"unplaced","NW_019942757.1",324035,1616774911,"LG40",653519791
"unplaced","NW_019942758.1",268708,1617098946,"LG40",653519791
"unplaced","NW_019942759.1",44753,1617367654,"LG40",653519791
"unplaced","NW_019942760.1",95291,1617412407,"LG40",653519791
"unplaced","NW_019942761.1",320370,1617507698,"LG40",653519791
"unplaced","NW_019942762.1",390392,1617828068,"LG40",653519791
"unplaced","NW_019942763.1",319676,1618218460,"LG40",653519791
"unplaced","NW_019942764.1",647079,1618538136,"LG40",653519791
"unplaced","NW_019942765.1",367707,1619185215,"LG40",653519791
"unplaced","NW_019942766.1",318030,1619552922,"LG40",653519791
"unplaced","NW_019942767.1",505483,1619870952,"LG40",653519791
"unplaced","NW_019942768.1",231860,1620376435,"LG40",653519791
"unplaced","NW_019942769.1",351966,1620608295,"LG40",653519791
"unplaced","NW_019942770.1",639822,1620960261,"LG40",653519791
"unplaced","NW_019942771.1",309178,1621600083,"LG40",653519791
"unplaced","NW_019942772.1",327554,1621909261,"LG40",653519791
"unplaced","NW_019942773.1",318255,1622236815,"LG40",653519791
"unplaced","NW_019942774.1",353519,1622555070,"LG40",653519791
"unplaced","NW_019942775.1",364106,1622908589,"LG40",653519791
"unplaced","NW_019942776.1",346363,1623272695,"LG40",653519791
"unplaced","NW_019942777.1",364759,1623619058,"LG40",653519791
"unplaced","NW_019942778.1",364931,1623983817,"LG40",653519791
"unplaced","NW_019942779.1",314259,1624348748,"LG40",653519791
"unplaced","NW_019942780.1",301231,1624663007,"LG40",653519791
"unplaced","NW_019942781.1",301162,1624964238,"LG40",653519791
"unplaced","NW_019942782.1",426881,1625265400,"LG40",653519791
"unplaced","NW_019942783.1",299714,1625692281,"LG40",653519791
"unplaced","NW_019942784.1",299067,1625991995,"LG40",653519791
"unplaced","NW_019942785.1",355670,1626291062,"LG40",653519791
"unplaced","NW_019942786.1",297680,1626646732,"LG40",653519791
"unplaced","NW_019942787.1",300329,1626944412,"LG40",653519791
"unplaced","NW_019942788.1",293228,1627244741,"LG40",653519791
"unplaced","NW_019942789.1",293170,1627537969,"LG40",653519791
"unplaced","NW_019942790.1",293167,1627831139,"LG40",653519791
"unplaced","NW_019942791.1",292958,1628124306,"LG40",653519791
"unplaced","NW_019942792.1",292800,1628417264,"LG40",653519791
"unplaced","NW_019942793.1",350289,1628710064,"LG40",653519791
"unplaced","NW_019942794.1",291853,1629060353,"LG40",653519791
"unplaced","NW_019942795.1",291791,1629352206,"LG40",653519791
"unplaced","NW_019942796.1",291281,1629643997,"LG40",653519791
"unplaced","NW_019942797.1",335324,1629935278,"LG40",653519791
"unplaced","NW_019942798.1",312888,1630270602,"LG40",653519791
"unplaced","NW_019942799.1",336350,1630583490,"LG40",653519791
"unplaced","NW_019942800.1",299930,1630919840,"LG40",653519791
"unplaced","NW_019942801.1",348116,1631219770,"LG40",653519791
"unplaced","NW_019942802.1",111587,1631567886,"LG40",653519791
"unplaced","NW_019942803.1",308320,1631679473,"LG40",653519791
"unplaced","NW_019942804.1",295874,1631987793,"LG40",653519791
"unplaced","NW_019942805.1",286219,1632283667,"LG40",653519791
"unplaced","NW_019942806.1",331877,1632569886,"LG40",653519791
"unplaced","NW_019942807.1",284903,1632901763,"LG40",653519791
"unplaced","NW_019942808.1",456301,1633186666,"LG40",653519791
"unplaced","NW_019942809.1",284399,1633642967,"LG40",653519791
"unplaced","NW_019942810.1",282449,1633927366,"LG40",653519791
"unplaced","NW_019942811.1",281276,1634209815,"LG40",653519791
"unplaced","NW_019942812.1",374478,1634491091,"LG40",653519791
"unplaced","NW_019942813.1",332274,1634865569,"LG40",653519791
"unplaced","NW_019942814.1",362425,1635197843,"LG40",653519791
"unplaced","NW_019942815.1",279766,1635560268,"LG40",653519791
"unplaced","NW_019942816.1",13886,1635840034,"LG40",653519791
"unplaced","NW_019942817.1",278778,1635853920,"LG40",653519791
"unplaced","NW_019942818.1",284557,1636132698,"LG40",653519791
"unplaced","NW_019942819.1",278516,1636417255,"LG40",653519791
"unplaced","NW_019942820.1",277448,1636695771,"LG40",653519791
"unplaced","NW_019942821.1",277380,1636973219,"LG40",653519791
"unplaced","NW_019942822.1",303075,1637250599,"LG40",653519791
"unplaced","NW_019942823.1",347358,1637553674,"LG40",653519791
"unplaced","NW_019942824.1",275539,1637901032,"LG40",653519791
"unplaced","NW_019942825.1",307710,1638176571,"LG40",653519791
"unplaced","NW_019942826.1",274950,1638484281,"LG40",653519791
"unplaced","NW_019942827.1",277286,1638759231,"LG40",653519791
"unplaced","NW_019942828.1",329466,1639036517,"LG40",653519791
"unplaced","NW_019942829.1",271335,1639365983,"LG40",653519791
"unplaced","NW_019942830.1",271318,1639637318,"LG40",653519791
"unplaced","NW_019942831.1",271317,1639908636,"LG40",653519791
"unplaced","NW_019942832.1",270791,1640179953,"LG40",653519791
"unplaced","NW_019942833.1",368044,1640450744,"LG40",653519791
"unplaced","NW_019942834.1",269454,1640818788,"LG40",653519791
"unplaced","NW_019942835.1",331333,1641088242,"LG40",653519791
"unplaced","NW_019942836.1",269077,1641419575,"LG40",653519791
"unplaced","NW_019942837.1",285713,1641688652,"LG40",653519791
"unplaced","NW_019942838.1",273598,1641974365,"LG40",653519791
"unplaced","NW_019942839.1",44510,1642247963,"LG40",653519791
"unplaced","NW_019942840.1",266683,1642292473,"LG40",653519791
"unplaced","NW_019942841.1",266652,1642559156,"LG40",653519791
"unplaced","NW_019942842.1",266382,1642825808,"LG40",653519791
"unplaced","NW_019942843.1",330586,1643092190,"LG40",653519791
"unplaced","NW_019942844.1",304848,1643422776,"LG40",653519791
"unplaced","NW_019942845.1",348424,1643727624,"LG40",653519791
"unplaced","NW_019942846.1",298330,1644076048,"LG40",653519791
"unplaced","NW_019942847.1",342960,1644374378,"LG40",653519791
"unplaced","NW_019942848.1",305464,1644717338,"LG40",653519791
"unplaced","NW_019942849.1",264419,1645022802,"LG40",653519791
"unplaced","NW_019942850.1",262581,1645287221,"LG40",653519791
"unplaced","NW_019942851.1",262249,1645549802,"LG40",653519791
"unplaced","NW_019942852.1",262242,1645812051,"LG40",653519791
"unplaced","NW_019942853.1",73381,1646074293,"LG40",653519791
"unplaced","NW_019942854.1",345740,1646147674,"LG40",653519791
"unplaced","NW_019942855.1",408025,1646493414,"LG40",653519791
"unplaced","NW_019942856.1",261046,1646901439,"LG40",653519791
"unplaced","NW_019942857.1",260584,1647162485,"LG40",653519791
"unplaced","NW_019942858.1",259869,1647423069,"LG40",653519791
"unplaced","NW_019942859.1",258956,1647682938,"LG40",653519791
"unplaced","NW_019942860.1",268573,1647941894,"LG40",653519791
"unplaced","NW_019942861.1",295131,1648210467,"LG40",653519791
"unplaced","NW_019942862.1",258958,1648505598,"LG40",653519791
"unplaced","NW_019942863.1",362989,1648764556,"LG40",653519791
"unplaced","NW_019942864.1",257046,1649127545,"LG40",653519791
"unplaced","NW_019942865.1",256819,1649384591,"LG40",653519791
"unplaced","NW_019942866.1",272891,1649641410,"LG40",653519791
"unplaced","NW_019942867.1",256331,1649914301,"LG40",653519791
"unplaced","NW_019942868.1",448548,1650170632,"LG40",653519791
"unplaced","NW_019942869.1",255734,1650619180,"LG40",653519791
"unplaced","NW_019942870.1",257362,1650874914,"LG40",653519791
"unplaced","NW_019942871.1",326560,1651132276,"LG40",653519791
"unplaced","NW_019942872.1",272732,1651458836,"LG40",653519791
"unplaced","NW_019942873.1",459113,1651731568,"LG40",653519791
"unplaced","NW_019942874.1",254415,1652190681,"LG40",653519791
"unplaced","NW_019942875.1",259309,1652445096,"LG40",653519791
"unplaced","NW_019942876.1",267023,1652704405,"LG40",653519791
"unplaced","NW_019942877.1",268911,1652971428,"LG40",653519791
"unplaced","NW_019942878.1",378073,1653240339,"LG40",653519791
"unplaced","NW_019942879.1",252080,1653618412,"LG40",653519791
"unplaced","NW_019942880.1",292043,1653870492,"LG40",653519791
"unplaced","NW_019942881.1",292161,1654162535,"LG40",653519791
"unplaced","NW_019942882.1",253664,1654454696,"LG40",653519791
"unplaced","NW_019942883.1",257180,1654708360,"LG40",653519791
"unplaced","NW_019942884.1",249811,1654965540,"LG40",653519791
"unplaced","NW_019942885.1",249779,1655215351,"LG40",653519791
"unplaced","NW_019942886.1",249649,1655465130,"LG40",653519791
"unplaced","NW_019942887.1",278340,1655714779,"LG40",653519791
"unplaced","NW_019942888.1",398975,1655993119,"LG40",653519791
"unplaced","NW_019942889.1",263744,1656392094,"LG40",653519791
"unplaced","NW_019942890.1",258922,1656655838,"LG40",653519791
"unplaced","NW_019942891.1",322275,1656914760,"LG40",653519791
"unplaced","NW_019942892.1",435296,1657237035,"LG40",653519791
"unplaced","NW_019942893.1",245058,1657672331,"LG40",653519791
"unplaced","NW_019942894.1",261355,1657917389,"LG40",653519791
"unplaced","NW_019942895.1",244546,1658178744,"LG40",653519791
"unplaced","NW_019942896.1",252315,1658423290,"LG40",653519791
"unplaced","NW_019942897.1",244226,1658675605,"LG40",653519791
"unplaced","NW_019942898.1",301328,1658919831,"LG40",653519791
"unplaced","NW_019942899.1",243661,1659221159,"LG40",653519791
